embedding_source,run_name,perplexity,n_rows,n_dimensions,standardized_before_tsne,pre_reduction,n_components,learning_rate,init,metric,random_state,max_iter,n_iter,kl_divergence
pre_head,fixed_test_set,30,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2144384384155273
pre_head,balanced_pool_set,30,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2518483400344849
pre_head,balanced_pool_plus_fixed_test_nitride,30,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2590752840042114
pre_head,fixed_test_set,15,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2263052463531494
pre_head,balanced_pool_set,15,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.256282925605774
pre_head,balanced_pool_plus_fixed_test_nitride,15,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2566338777542114
pre_head,fixed_test_set,50,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,1.1518000364303589
pre_head,balanced_pool_set,50,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.229060411453247
pre_head,balanced_pool_plus_fixed_test_nitride,50,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2220288515090942
last_alignn_pool,fixed_test_set,30,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,0.9838628768920898
last_alignn_pool,balanced_pool_set,30,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.0676876306533813
last_alignn_pool,balanced_pool_plus_fixed_test_nitride,30,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.0643671751022339
last_alignn_pool,fixed_test_set,15,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,1.0225677490234375
last_alignn_pool,balanced_pool_set,15,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.0901823043823242
last_alignn_pool,balanced_pool_plus_fixed_test_nitride,15,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.0868357419967651
last_alignn_pool,fixed_test_set,50,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,0.9705909490585327
last_alignn_pool,balanced_pool_set,50,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.0143729448318481
last_alignn_pool,balanced_pool_plus_fixed_test_nitride,50,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.0167593955993652
last_gcn_pool,fixed_test_set,30,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2144384384155273
last_gcn_pool,balanced_pool_set,30,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2518483400344849
last_gcn_pool,balanced_pool_plus_fixed_test_nitride,30,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2590752840042114
last_gcn_pool,fixed_test_set,15,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2263052463531494
last_gcn_pool,balanced_pool_set,15,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.256282925605774
last_gcn_pool,balanced_pool_plus_fixed_test_nitride,15,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2566338777542114
last_gcn_pool,fixed_test_set,50,1726,256,True,none,2,auto,pca,euclidean,42,1000,999,1.1518000364303589
last_gcn_pool,balanced_pool_set,50,4092,256,True,none,2,auto,pca,euclidean,42,1000,999,1.229060411453247
last_gcn_pool,balanced_pool_plus_fixed_test_nitride,50,4334,256,True,none,2,auto,pca,euclidean,42,1000,999,1.2220288515090942
