embedding_source,run_name,n_neighbors,min_dist,n_rows,n_dimensions,standardized_before_umap,pre_reduction,n_components,metric,random_state,standardization_scope,umap_transform_mode
pre_head,fixed_test_set,30,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
pre_head,balanced_pool_set,30,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
pre_head,balanced_pool_transform_fixed_test_nitride,30,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
pre_head,fixed_test_set,15,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
pre_head,balanced_pool_set,15,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
pre_head,balanced_pool_transform_fixed_test_nitride,15,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
pre_head,fixed_test_set,50,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
pre_head,balanced_pool_set,50,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
pre_head,balanced_pool_transform_fixed_test_nitride,50,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
last_alignn_pool,fixed_test_set,30,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
last_alignn_pool,balanced_pool_set,30,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
last_alignn_pool,balanced_pool_transform_fixed_test_nitride,30,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
last_alignn_pool,fixed_test_set,15,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
last_alignn_pool,balanced_pool_set,15,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
last_alignn_pool,balanced_pool_transform_fixed_test_nitride,15,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
last_alignn_pool,fixed_test_set,50,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
last_alignn_pool,balanced_pool_set,50,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
last_alignn_pool,balanced_pool_transform_fixed_test_nitride,50,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
last_gcn_pool,fixed_test_set,30,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
last_gcn_pool,balanced_pool_set,30,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
last_gcn_pool,balanced_pool_transform_fixed_test_nitride,30,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
last_gcn_pool,fixed_test_set,15,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
last_gcn_pool,balanced_pool_set,15,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
last_gcn_pool,balanced_pool_transform_fixed_test_nitride,15,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
last_gcn_pool,fixed_test_set,50,0.1,1726,256,True,none,2,euclidean,42,run_input,fit_transform
last_gcn_pool,balanced_pool_set,50,0.1,4092,256,True,none,2,euclidean,42,run_input,fit_transform
last_gcn_pool,balanced_pool_transform_fixed_test_nitride,50,0.1,4334,256,True,none,2,euclidean,42,balanced_pool_set,fit_balanced_transform_fixed_test_nitride
