Z,symbol,chemistry_class,pca1,pca2,tsne1,tsne2,umap1,umap2
1,H,nonmetal,-5.98776435821775,2.1948679921991694,16.561882,-8.812266,11.679042,2.3126476
2,He,noble gas,-7.818824309514192,10.381316540071516,16.976948,-11.512858,11.411547,3.2725134
3,Li,alkali metal,-1.0157688867659262,3.9174524165865163,15.104574,-4.1277475,12.586154,1.380817
4,Be,alkaline earth metal,-1.4867494042938847,-1.8672699193792228,-6.19457,-7.01656,11.267724,1.3050256
5,B,metalloid,-3.353478969125719,-3.3025942152767764,-4.803291,-9.207181,10.863526,1.8860873
6,C,nonmetal,-4.186019590390277,-2.6905788872589413,-3.146694,-12.055658,10.593557,2.2169
7,N,nonmetal,-7.076504974567241,-0.631776953208949,-1.3023822,-13.466583,10.507569,2.8160286
8,O,nonmetal,-7.15891088244367,2.48875574951272,2.9709408,-15.398083,10.319725,3.0059912
9,F,halogen,-8.9075514076188,4.090966823834798,4.549329,-16.26597,10.211924,3.348071
10,Ne,noble gas,-10.932531410964279,10.261801629446566,17.770687,-15.432776,10.916134,3.70705
11,Na,alkali metal,-1.5666867516083405,6.403626230707137,16.794083,-3.8754485,12.643103,1.4848516
12,Mg,alkaline earth metal,1.2076770831327304,2.3943208979354615,-7.9846396,-2.5206583,12.228353,0.9539245
13,Al,post-transition metal,0.18271892911621063,-1.401041416698166,-2.5060017,-1.0886621,10.719179,1.4163809
14,Si,metalloid,-2.0473792081552995,-4.161658121722669,-0.8184295,-3.8159466,10.378113,1.920539
15,P,nonmetal,-4.405767819868632,-2.6855396755086405,0.99018,-8.560463,10.041662,2.3596609
16,S,nonmetal,-6.2724723659326465,0.9181680434997246,3.1625204,-10.499847,10.033741,2.666025
17,Cl,halogen,-8.551204987154351,4.269613326780273,7.76037,-13.656543,9.939579,3.1652796
18,Ar,noble gas,-9.867932579017216,9.695572402964343,16.99743,-13.820046,11.033308,3.5663126
19,K,alkali metal,-1.2138728666759933,8.233756146212055,18.97983,-2.9488208,13.08249,1.5129466
20,Ca,alkaline earth metal,5.764575708485558,5.475593958613388,-11.225025,-1.3373845,13.174215,0.56642324
21,Sc,transition metal,8.64062122333783,0.32686915626773744,-12.097951,8.655118,13.00091,-0.6479226
22,Ti,transition metal,5.017919048891361,-4.340544375129809,-8.718561,12.287187,12.322361,-0.75706697
23,V,transition metal,0.7830256094718634,-8.79642472826218,-3.5547643,15.418689,10.918531,-0.9840894
24,Cr,transition metal,-1.2035278803121283,-7.971490501601904,0.16911839,15.764252,10.490613,-0.8335251
25,Mn,transition metal,-2.000648150483933,-6.7939864208021055,1.9175955,14.406891,10.277612,-0.5695457
26,Fe,transition metal,-2.4089689054725625,-5.118028237921988,3.7927814,13.814305,10.132797,-0.42818457
27,Co,transition metal,-4.11066421835515,-5.98721361573095,5.839276,12.382044,9.978833,-0.18712448
28,Ni,transition metal,-5.309391510462136,-4.216312924191465,7.6795235,11.634296,9.750423,0.09851869
29,Cu,transition metal,-4.913521163641743,-1.269343739965642,9.667456,9.939605,9.874002,0.46874407
30,Zn,transition metal,-3.1592887718079252,-0.6003496627001643,5.2443223,3.7369351,10.41569,0.8991669
31,Ga,post-transition metal,-1.4881266873287275,-1.5855463803256908,-0.93990964,0.19144379,10.281069,1.4689206
32,Ge,metalloid,-2.873638647164444,-3.6000863587712537,1.3279338,-3.7383165,9.890758,1.9856609
33,As,metalloid,-4.553669803281068,-3.2484680808716306,2.7944226,-6.199332,9.808847,2.3747609
34,Se,nonmetal,-5.87080552800722,0.38050439325595325,4.5380797,-9.222715,9.656658,2.6620035
35,Br,halogen,-7.562935412223527,4.351690832200203,8.282445,-12.197083,9.765321,3.0547502
36,Kr,noble gas,-11.344628612631162,10.373978950797383,15.418908,-15.433791,10.999668,3.5168374
37,Rb,alkali metal,-1.21543250411105,8.227156497868446,19.621431,-1.3501413,13.197424,1.2542374
38,Sr,alkaline earth metal,5.369125022550979,6.355493976362649,-12.762738,-2.5203319,13.456255,0.7872031
39,Y,transition metal,10.35687379955179,1.7941769947134498,-11.891331,6.228857,13.548865,-0.7513081
40,Zr,transition metal,8.257740869330844,-3.223679602018774,-11.207211,12.315472,12.792997,-0.7091325
41,Nb,transition metal,3.273941032366212,-8.918727573666636,-4.951454,16.784044,11.178922,-1.2326187
42,Mo,transition metal,0.09365208018896626,-10.901556377931351,-1.0647081,19.030298,10.358337,-1.1977834
43,Tc,transition metal,-2.1457227046503693,-10.085822531712683,3.4489346,18.459784,9.893813,-0.8254901
44,Ru,transition metal,-3.1108997560296343,-7.3152508332259885,6.6032867,17.839012,9.572175,-0.7720629
45,Rh,transition metal,-4.439547883754419,-5.64200213571817,9.474653,16.336494,9.439913,-0.27754766
46,Pd,transition metal,-6.213015562487242,-3.835323698813276,12.383991,14.848515,9.224695,0.19302209
47,Ag,transition metal,-5.985333764599156,-0.10787472830691786,11.650844,9.815905,9.626884,0.64428943
48,Cd,transition metal,-2.094276511241321,0.3765310655820667,6.5894747,3.46461,10.165275,1.0028142
49,In,post-transition metal,0.08890968506236194,0.8536439158867813,1.0174228,0.8657192,10.120342,1.4362696
50,Sn,post-transition metal,-0.5690085914119204,-2.3639508015676887,3.4073136,-2.4189649,9.7729845,1.73378
51,Sb,metalloid,-1.6758124951868862,-2.5240802314188886,4.83607,-4.3840857,9.592333,2.073138
52,Te,metalloid,-3.7907655595544023,-0.04648617703925234,5.9670944,-6.8971686,9.411839,2.382146
53,I,halogen,-6.020844122997967,3.736423383136661,8.66055,-9.868557,9.529236,2.9759302
54,Xe,noble gas,-10.284911724981463,11.552403162684907,15.957733,-17.271484,11.235467,3.5571244
55,Cs,alkali metal,-0.8132817196047554,9.051688360177026,21.365423,-2.198185,13.341087,1.4818066
56,Ba,alkaline earth metal,5.1170883664760085,7.145160477080514,-14.095279,-3.8912156,13.677677,0.9797751
57,La,lanthanide,10.900792068245702,2.5408701139264984,-19.255623,-1.0724384,14.403048,0.51100194
58,Ce,lanthanide,10.900792068245702,2.5408701139264993,-17.6199,-0.06919839,14.248377,0.6068033
59,Pr,lanthanide,10.009127144301969,3.504473450532247,-21.05556,0.6375804,14.153895,0.9299201
60,Nd,lanthanide,9.931540683033187,3.296258286794347,-20.385237,2.9344409,13.920685,0.40973622
61,Pm,lanthanide,9.527970514921433,3.341880737946755,-19.777496,5.7429333,14.158987,0.14133742
62,Sm,lanthanide,10.28429108894531,3.187589075849307,-18.329908,2.694332,14.147323,0.70249826
63,Eu,lanthanide,9.598146649289994,3.0164236183267734,-23.321913,5.3179584,14.324981,0.110462435
64,Gd,lanthanide,10.28429108894531,3.187589075849307,-16.473774,2.1998239,13.708642,0.26137987
65,Tb,lanthanide,10.675235016606798,2.8963753262333194,-17.339968,4.880027,13.802979,-0.1803008
66,Dy,lanthanide,10.404279625030423,2.195068627685978,-14.12972,3.5756865,13.979605,-0.51024604
67,Ho,lanthanide,10.115942714460251,2.355208930351705,-15.049072,5.980361,13.783809,-0.6221128
68,Er,lanthanide,10.115942714460253,2.3552089303517056,-15.049072,5.980361,14.01049,-0.6084635
69,Tm,lanthanide,10.646845529906695,2.0663144520461345,-17.218395,7.8880634,14.028864,-0.40409228
70,Yb,lanthanide,8.315664132673364,5.480963882937548,-21.636818,7.780013,14.428472,-0.11685562
71,Lu,lanthanide,10.295802210430448,1.2074931765518133,-15.473063,10.263472,13.421456,-0.5374051
72,Hf,transition metal,8.703942909945091,-4.547986901550379,-10.149725,14.111766,12.440554,-0.8781372
73,Ta,transition metal,4.913843364207421,-8.831703178284837,-7.2015176,16.592604,11.620481,-1.1776564
74,W,transition metal,0.7527138023930934,-10.649001234294495,0.5263571,20.171185,10.241414,-1.2304872
75,Re,transition metal,-0.8075400603453229,-9.984004011617772,3.9578826,20.610048,9.816504,-1.0012339
76,Os,transition metal,-2.2676918029175175,-8.686640143481803,7.0466857,19.8539,9.31657,-0.812057
77,Ir,transition metal,-4.3133857802985975,-7.329256390259618,10.688128,18.218914,9.146987,-0.48960248
78,Pt,transition metal,-6.36614903829143,-4.997119387291067,12.788353,16.782581,9.081358,-0.2165412
79,Au,transition metal,-6.088322965410533,-0.8178875705414547,13.5336,11.007324,9.25477,0.47417638
80,Hg,transition metal,-3.679853172645177,2.6524866003818235,8.834293,3.464881,10.28111,0.8964547
