material_id,family,split,formula,target_formation_energy_peratom,pretrained_prediction,absolute_error,filename,structure_path,source_manifest,n_atoms,is_oxide,is_nitride,is_oxynitride
JVASP-50332,oxide,train,Na2CuO2,-1.21362,-1.2092921733856201,0.004327826614379804,POSCAR-JVASP-50332.vasp,data_shared/oxide/structures/POSCAR-JVASP-50332.vasp,data_shared/oxide/manifests/pool.csv,5,True,False,False
JVASP-98167,oxide,train,FeH8Cl2O4,-0.93989,-0.9387165904045105,0.0011734095954895052,POSCAR-JVASP-98167.vasp,data_shared/oxide/structures/POSCAR-JVASP-98167.vasp,data_shared/oxide/manifests/pool.csv,30,True,False,False
JVASP-1390,oxide,train,SrO,-3.02565,-3.030675172805786,0.00502517280578596,POSCAR-JVASP-1390.vasp,data_shared/oxide/structures/POSCAR-JVASP-1390.vasp,data_shared/oxide/manifests/pool.csv,2,True,False,False
JVASP-3534,oxide,train,BiClO,-1.39849,-1.4041643142700195,0.00567431427001952,POSCAR-JVASP-3534.vasp,data_shared/oxide/structures/POSCAR-JVASP-3534.vasp,data_shared/oxide/manifests/pool.csv,6,True,False,False
JVASP-98354,oxide,train,Ba9Y2Si6O24,-3.27649,-3.282104730606079,0.005614730606079199,POSCAR-JVASP-98354.vasp,data_shared/oxide/structures/POSCAR-JVASP-98354.vasp,data_shared/oxide/manifests/pool.csv,41,True,False,False
JVASP-48232,oxide,train,LiMn7O12,-1.77785,-1.7785475254058838,0.0006975254058838587,POSCAR-JVASP-48232.vasp,data_shared/oxide/structures/POSCAR-JVASP-48232.vasp,data_shared/oxide/manifests/pool.csv,20,True,False,False
JVASP-50396,oxide,train,Zr2Bi2O7,-2.59193,-2.598966121673584,0.007036121673583917,POSCAR-JVASP-50396.vasp,data_shared/oxide/structures/POSCAR-JVASP-50396.vasp,data_shared/oxide/manifests/pool.csv,22,True,False,False
JVASP-88825,oxide,train,RbHSeO4,-1.14237,-1.135316252708435,0.007053747291565049,POSCAR-JVASP-88825.vasp,data_shared/oxide/structures/POSCAR-JVASP-88825.vasp,data_shared/oxide/manifests/pool.csv,28,True,False,False
JVASP-97500,oxide,train,CoIN2O2,-0.19644,-0.19508865475654602,0.001351345243453983,POSCAR-JVASP-97500.vasp,data_shared/oxide/structures/POSCAR-JVASP-97500.vasp,data_shared/oxide/manifests/pool.csv,24,True,False,True
JVASP-49949,oxide,train,Ce2Nd2O7,-3.58436,-3.5627799034118652,0.021580096588134978,POSCAR-JVASP-49949.vasp,data_shared/oxide/structures/POSCAR-JVASP-49949.vasp,data_shared/oxide/manifests/pool.csv,22,True,False,False
