material_id,family,split,formula,target_formation_energy_peratom,pretrained_prediction,absolute_error,filename,structure_path,source_manifest,n_atoms,is_oxide,is_nitride,is_oxynitride
JVASP-98550,oxide,train,Ba4CeMn3O12,-2.76746,-2.7721869945526123,0.004726994552612496,POSCAR-JVASP-98550.vasp,data_shared/oxide/structures/POSCAR-JVASP-98550.vasp,data_shared/oxide/manifests/pool.csv,20,True,False,False
JVASP-89265,oxide,train,Fe2SiO4,-1.78124,-1.7786180973052979,0.002621902694702083,POSCAR-JVASP-89265.vasp,data_shared/oxide/structures/POSCAR-JVASP-89265.vasp,data_shared/oxide/manifests/pool.csv,28,True,False,False
JVASP-90228,oxide,train,Ag2IO6,0.01013,0.017335258424282074,0.007205258424282074,POSCAR-JVASP-90228.vasp,data_shared/oxide/structures/POSCAR-JVASP-90228.vasp,data_shared/oxide/manifests/pool.csv,9,True,False,False
JVASP-42300,oxide,train,Li4Mn3Cr3O12,-2.05294,-2.0536327362060547,0.0006927362060547004,POSCAR-JVASP-42300.vasp,data_shared/oxide/structures/POSCAR-JVASP-42300.vasp,data_shared/oxide/manifests/pool.csv,22,True,False,False
JVASP-86968,oxide,train,CdAs2O6,-1.32124,-1.3207015991210938,0.00053840087890622,POSCAR-JVASP-86968.vasp,data_shared/oxide/structures/POSCAR-JVASP-86968.vasp,data_shared/oxide/manifests/pool.csv,9,True,False,False
JVASP-90532,oxide,train,FeOF,-1.66274,-1.6655640602111816,0.002824060211181534,POSCAR-JVASP-90532.vasp,data_shared/oxide/structures/POSCAR-JVASP-90532.vasp,data_shared/oxide/manifests/pool.csv,9,True,False,False
JVASP-50332,oxide,train,Na2CuO2,-1.21362,-1.2092921733856201,0.004327826614379804,POSCAR-JVASP-50332.vasp,data_shared/oxide/structures/POSCAR-JVASP-50332.vasp,data_shared/oxide/manifests/pool.csv,5,True,False,False
JVASP-48166,oxide,train,LiMn5O3F5,-2.01511,-2.011867046356201,0.003242953643798785,POSCAR-JVASP-48166.vasp,data_shared/oxide/structures/POSCAR-JVASP-48166.vasp,data_shared/oxide/manifests/pool.csv,14,True,False,False
JVASP-97984,oxide,train,TbTaO4,-3.52032,-3.525664806365967,0.005344806365966903,POSCAR-JVASP-97984.vasp,data_shared/oxide/structures/POSCAR-JVASP-97984.vasp,data_shared/oxide/manifests/pool.csv,12,True,False,False
JVASP-98167,oxide,train,FeH8Cl2O4,-0.93989,-0.9387165904045105,0.0011734095954895052,POSCAR-JVASP-98167.vasp,data_shared/oxide/structures/POSCAR-JVASP-98167.vasp,data_shared/oxide/manifests/pool.csv,30,True,False,False
JVASP-97499,oxide,train,K4MnMo4O15,-2.24322,-2.238917350769043,0.004302649230957023,POSCAR-JVASP-97499.vasp,data_shared/oxide/structures/POSCAR-JVASP-97499.vasp,data_shared/oxide/manifests/pool.csv,48,True,False,False
JVASP-97677,oxide,train,Rb2GeB4O9,-2.40698,-2.4113070964813232,0.004327096481323345,POSCAR-JVASP-97677.vasp,data_shared/oxide/structures/POSCAR-JVASP-97677.vasp,data_shared/oxide/manifests/pool.csv,64,True,False,False
JVASP-97570,oxide,train,Na2Cr2O7,-2.01742,-2.008322238922119,0.00909776107788085,POSCAR-JVASP-97570.vasp,data_shared/oxide/structures/POSCAR-JVASP-97570.vasp,data_shared/oxide/manifests/pool.csv,22,True,False,False
JVASP-89957,oxide,train,Sr2Ti2As2OF2,-2.53538,-2.5423789024353027,0.006998902435302767,POSCAR-JVASP-89957.vasp,data_shared/oxide/structures/POSCAR-JVASP-89957.vasp,data_shared/oxide/manifests/pool.csv,9,True,False,False
JVASP-98798,oxide,train,KMoP2O8,-2.27198,-2.26977801322937,0.0022019867706299934,POSCAR-JVASP-98798.vasp,data_shared/oxide/structures/POSCAR-JVASP-98798.vasp,data_shared/oxide/manifests/pool.csv,48,True,False,False
JVASP-86322,oxide,train,LiO,-1.61471,-1.620042324066162,0.00533232406616202,POSCAR-JVASP-86322.vasp,data_shared/oxide/structures/POSCAR-JVASP-86322.vasp,data_shared/oxide/manifests/pool.csv,8,True,False,False
JVASP-47529,oxide,train,MnCoO4,-1.45226,-1.449714183807373,0.0025458161926270595,POSCAR-JVASP-47529.vasp,data_shared/oxide/structures/POSCAR-JVASP-47529.vasp,data_shared/oxide/manifests/pool.csv,6,True,False,False
JVASP-49836,oxide,train,CeTiO3,-3.35291,-3.394810676574707,0.041900676574706974,POSCAR-JVASP-49836.vasp,data_shared/oxide/structures/POSCAR-JVASP-49836.vasp,data_shared/oxide/manifests/pool.csv,5,True,False,False
JVASP-1390,oxide,train,SrO,-3.02565,-3.030675172805786,0.00502517280578596,POSCAR-JVASP-1390.vasp,data_shared/oxide/structures/POSCAR-JVASP-1390.vasp,data_shared/oxide/manifests/pool.csv,2,True,False,False
JVASP-47962,oxide,train,Li2VO2F,-2.67509,-2.6800155639648438,0.004925563964843782,POSCAR-JVASP-47962.vasp,data_shared/oxide/structures/POSCAR-JVASP-47962.vasp,data_shared/oxide/manifests/pool.csv,6,True,False,False
JVASP-1879,oxide,train,NaVO2,-2.26988,-2.2739996910095215,0.004119691009521365,POSCAR-JVASP-1879.vasp,data_shared/oxide/structures/POSCAR-JVASP-1879.vasp,data_shared/oxide/manifests/pool.csv,4,True,False,False
JVASP-18433,oxide,train,LiNiO2,-1.44752,-1.4581120014190674,0.010592001419067465,POSCAR-JVASP-18433.vasp,data_shared/oxide/structures/POSCAR-JVASP-18433.vasp,data_shared/oxide/manifests/pool.csv,4,True,False,False
JVASP-97985,oxide,train,SnHgO3,-1.13228,-1.1247884035110474,0.00749159648895259,POSCAR-JVASP-97985.vasp,data_shared/oxide/structures/POSCAR-JVASP-97985.vasp,data_shared/oxide/manifests/pool.csv,10,True,False,False
JVASP-32197,oxide,train,HgHClO4,-0.23818,-0.23258893191814423,0.005591068081855777,POSCAR-JVASP-32197.vasp,data_shared/oxide/structures/POSCAR-JVASP-32197.vasp,data_shared/oxide/manifests/pool.csv,28,True,False,False
JVASP-43842,oxide,train,V6O7F5,-2.68429,-2.692401885986328,0.008111885986328282,POSCAR-JVASP-43842.vasp,data_shared/oxide/structures/POSCAR-JVASP-43842.vasp,data_shared/oxide/manifests/pool.csv,18,True,False,False
JVASP-87903,oxide,train,BaSm2CoO5,-2.88803,-2.8857076168060303,0.0023223831939698236,POSCAR-JVASP-87903.vasp,data_shared/oxide/structures/POSCAR-JVASP-87903.vasp,data_shared/oxide/manifests/pool.csv,9,True,False,False
