subset_name,subset_order,material_id,family,split,selection_role,source_manifest,source_row_index,sample_draw_rank
oxide_reference_pool,0,JVASP-98550,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,0,
oxide_reference_pool,1,JVASP-89265,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,1,
oxide_reference_pool,2,JVASP-90228,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,2,
oxide_reference_pool,3,JVASP-42300,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,3,
oxide_reference_pool,4,JVASP-86968,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,4,
oxide_reference_pool,5,JVASP-90532,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,5,
oxide_reference_pool,6,JVASP-50332,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,6,
oxide_reference_pool,7,JVASP-48166,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,7,
oxide_reference_pool,8,JVASP-97984,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,8,
oxide_reference_pool,9,JVASP-98167,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,9,
oxide_reference_pool,10,JVASP-97499,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,10,
oxide_reference_pool,11,JVASP-97677,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,11,
oxide_reference_pool,12,JVASP-97570,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,12,
oxide_reference_pool,13,JVASP-89957,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,13,
oxide_reference_pool,14,JVASP-98798,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,14,
oxide_reference_pool,15,JVASP-86322,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,15,
oxide_reference_pool,16,JVASP-47529,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,16,
oxide_reference_pool,17,JVASP-49836,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,17,
oxide_reference_pool,18,JVASP-1390,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,18,
oxide_reference_pool,19,JVASP-47962,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,19,
oxide_reference_pool,20,JVASP-1879,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,20,
oxide_reference_pool,21,JVASP-18433,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,21,
oxide_reference_pool,22,JVASP-97985,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,22,
oxide_reference_pool,23,JVASP-32197,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,23,
oxide_reference_pool,24,JVASP-43842,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,24,
oxide_reference_pool,25,JVASP-87903,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,25,
oxide_reference_pool,26,JVASP-49773,oxide,train,all_oxide_pool,data_shared/oxide/manifests/pool.csv,26,
