subset_name,subset_order,structure_id,material_id,family,split,formula,target_formation_energy_peratom,pretrained_prediction,absolute_error,embedding_available,embedding_npz_path,embedding_row_index,embedding_sources,embedding_source_count,filename,structure_path,source_manifest,source_row_index,n_atoms,is_oxide,is_nitride,is_oxynitride,selection_role,sampling_seed,sampled,sample_pool_size,sample_size,sample_draw_rank
oxide_reference_pool,0,JVASP-98550,JVASP-98550,oxide,train,Ba4CeMn3O12,-2.76746,,,False,,,,0,POSCAR-JVASP-98550.vasp,data_shared/oxide/structures/POSCAR-JVASP-98550.vasp,data_shared/oxide/manifests/pool.csv,0,20,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,1,JVASP-89265,JVASP-89265,oxide,train,Fe2SiO4,-1.78124,,,False,,,,0,POSCAR-JVASP-89265.vasp,data_shared/oxide/structures/POSCAR-JVASP-89265.vasp,data_shared/oxide/manifests/pool.csv,1,28,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,2,JVASP-90228,JVASP-90228,oxide,train,Ag2IO6,0.01013,,,False,,,,0,POSCAR-JVASP-90228.vasp,data_shared/oxide/structures/POSCAR-JVASP-90228.vasp,data_shared/oxide/manifests/pool.csv,2,9,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,3,JVASP-42300,JVASP-42300,oxide,train,Li4Mn3Cr3O12,-2.05294,,,False,,,,0,POSCAR-JVASP-42300.vasp,data_shared/oxide/structures/POSCAR-JVASP-42300.vasp,data_shared/oxide/manifests/pool.csv,3,22,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,4,JVASP-86968,JVASP-86968,oxide,train,CdAs2O6,-1.32124,,,False,,,,0,POSCAR-JVASP-86968.vasp,data_shared/oxide/structures/POSCAR-JVASP-86968.vasp,data_shared/oxide/manifests/pool.csv,4,9,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,5,JVASP-90532,JVASP-90532,oxide,train,FeOF,-1.66274,,,False,,,,0,POSCAR-JVASP-90532.vasp,data_shared/oxide/structures/POSCAR-JVASP-90532.vasp,data_shared/oxide/manifests/pool.csv,5,9,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,6,JVASP-50332,JVASP-50332,oxide,train,Na2CuO2,-1.21362,,,False,,,,0,POSCAR-JVASP-50332.vasp,data_shared/oxide/structures/POSCAR-JVASP-50332.vasp,data_shared/oxide/manifests/pool.csv,6,5,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,7,JVASP-48166,JVASP-48166,oxide,train,LiMn5O3F5,-2.01511,,,False,,,,0,POSCAR-JVASP-48166.vasp,data_shared/oxide/structures/POSCAR-JVASP-48166.vasp,data_shared/oxide/manifests/pool.csv,7,14,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,8,JVASP-97984,JVASP-97984,oxide,train,TbTaO4,-3.52032,,,False,,,,0,POSCAR-JVASP-97984.vasp,data_shared/oxide/structures/POSCAR-JVASP-97984.vasp,data_shared/oxide/manifests/pool.csv,8,12,True,False,False,all_oxide_pool,,,,,
oxide_reference_pool,9,JVASP-98167,JVASP-98167,oxide,train,FeH8Cl2O4,-0.93989,,,False,,,,0,POSCAR-JVASP-98167.vasp,data_shared/oxide/structures/POSCAR-JVASP-98167.vasp,data_shared/oxide/manifests/pool.csv,9,30,True,False,False,all_oxide_pool,,,,,
