jid,split,target,target_key_used,filename,formula,n_atoms,elements,unique_elements,has_O,has_N,is_oxide,is_nitride,is_oxynitride
JVASP-97915,train,-0.34176,formation_energy_peratom,POSCAR-JVASP-97915.vasp,Ba14Na14LiN6,35,Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Ba;Na;Na;Na;Na;Na;Na;Na;Na;Na;Na;Na;Na;Na;Na;Li;N;N;N;N;N;N,Ba;Li;N;Na,False,True,False,True,False
JVASP-90428,train,2.71694,formation_energy_peratom,POSCAR-JVASP-90428.vasp,NiN6Cl2,9,Ni;N;N;N;N;N;N;Cl;Cl,Cl;N;Ni,False,True,False,True,False
JVASP-97336,train,-1.36257,formation_energy_peratom,POSCAR-JVASP-97336.vasp,Sr2TaN3,24,Sr;Sr;Sr;Sr;Sr;Sr;Sr;Sr;Ta;Ta;Ta;Ta;N;N;N;N;N;N;N;N;N;N;N;N,N;Sr;Ta,False,True,False,True,False
JVASP-18544,train,-0.17665,formation_energy_peratom,POSCAR-JVASP-18544.vasp,LiNiN,3,Li;Ni;N,Li;N;Ni,False,True,False,True,False
JVASP-88701,train,0.46758,formation_energy_peratom,POSCAR-JVASP-88701.vasp,RbAuN12,28,Rb;Rb;Au;Au;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,Au;N;Rb,False,True,False,True,False
JVASP-19857,train,-1.76502,formation_energy_peratom,POSCAR-JVASP-19857.vasp,ThN,2,Th;N,N;Th,False,True,False,True,False
JVASP-91700,train,-0.53074,formation_energy_peratom,POSCAR-JVASP-91700.vasp,B2CN,8,B;B;B;B;C;C;N;N,B;C;N,False,True,False,True,False
JVASP-97577,train,-0.81249,formation_energy_peratom,POSCAR-JVASP-97577.vasp,Li2CN2,5,Li;Li;C;N;N,C;Li;N,False,True,False,True,False
JVASP-52889,train,-0.60111,formation_energy_peratom,POSCAR-JVASP-52889.vasp,SrH4N2,14,Sr;Sr;H;H;H;H;H;H;H;H;N;N;N;N,H;N;Sr,False,True,False,True,False
JVASP-3117,train,-0.73127,formation_energy_peratom,POSCAR-JVASP-3117.vasp,NaPN2,8,Na;Na;P;P;N;N;N;N,N;Na;P,False,True,False,True,False
JVASP-98812,train,-0.30254,formation_energy_peratom,POSCAR-JVASP-98812.vasp,FeSe2NCl6,40,Fe;Fe;Fe;Fe;Se;Se;Se;Se;Se;Se;Se;Se;N;N;N;N;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl;Cl,Cl;Fe;N;Se,False,True,False,True,False
JVASP-86104,train,0.15309,formation_energy_peratom,POSCAR-JVASP-86104.vasp,Cd2RuC6N6,15,Cd;Cd;Ru;C;C;C;C;C;C;N;N;N;N;N;N,C;Cd;N;Ru,False,True,False,True,False
JVASP-86900,train,0.43866,formation_energy_peratom,POSCAR-JVASP-86900.vasp,HgC2Se2N2,14,Hg;Hg;C;C;C;C;Se;Se;Se;Se;N;N;N;N,C;Hg;N;Se,False,True,False,True,False
JVASP-86206,train,-0.03986,formation_energy_peratom,POSCAR-JVASP-86206.vasp,H3AuC2NCl,16,H;H;H;H;H;H;Au;Au;C;C;C;C;N;N;Cl;Cl,Au;C;Cl;H;N,False,True,False,True,False
JVASP-90343,train,2.5435,formation_energy_peratom,POSCAR-JVASP-90343.vasp,RuN6Cl2,9,Ru;N;N;N;N;N;N;Cl;Cl,Cl;N;Ru,False,True,False,True,False
JVASP-85669,train,-0.28519,formation_energy_peratom,POSCAR-JVASP-85669.vasp,H3N,16,H;H;H;H;H;H;H;H;H;H;H;H;N;N;N;N,H;N,False,True,False,True,False
JVASP-98831,train,0.61807,formation_energy_peratom,POSCAR-JVASP-98831.vasp,HgC2N2,20,Hg;Hg;Hg;Hg;C;C;C;C;C;C;C;C;N;N;N;N;N;N;N;N,C;Hg;N,False,True,False,True,False
JVASP-97933,train,-0.75701,formation_energy_peratom,POSCAR-JVASP-97933.vasp,MgH6Br2N2,44,Mg;Mg;Mg;Mg;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;Br;Br;Br;Br;Br;Br;Br;Br;N;N;N;N;N;N;N;N,Br;H;Mg;N,False,True,False,True,False
JVASP-98372,train,-1.33783,formation_energy_peratom,POSCAR-JVASP-98372.vasp,CeSi3N5,36,Ce;Ce;Ce;Ce;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,Ce;N;Si,False,True,False,True,False
JVASP-85285,train,-0.82016,formation_energy_peratom,POSCAR-JVASP-85285.vasp,Sr8Fe3N8,19,Sr;Sr;Sr;Sr;Sr;Sr;Sr;Sr;Fe;Fe;Fe;N;N;N;N;N;N;N;N,Fe;N;Sr,False,True,False,True,False
JVASP-90862,train,-0.02559,formation_energy_peratom,POSCAR-JVASP-90862.vasp,BC2N,8,B;B;C;C;C;C;N;N,B;C;N,False,True,False,True,False
JVASP-97934,train,-0.05762,formation_energy_peratom,POSCAR-JVASP-97934.vasp,KMnH24C14N8,48,K;Mn;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;C;C;C;C;C;C;C;C;C;C;C;C;C;C;N;N;N;N;N;N;N;N,C;H;K;Mn;N,False,True,False,True,False
JVASP-98577,train,-1.71569,formation_energy_peratom,POSCAR-JVASP-98577.vasp,Nd3SeBrN2,28,Nd;Nd;Nd;Nd;Nd;Nd;Nd;Nd;Nd;Nd;Nd;Nd;Se;Se;Se;Se;Br;Br;Br;Br;N;N;N;N;N;N;N;N,Br;N;Nd;Se,False,True,False,True,False
JVASP-88170,train,0.7321,formation_energy_peratom,POSCAR-JVASP-88170.vasp,HgN6,28,Hg;Hg;Hg;Hg;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,Hg;N,False,True,False,True,False
