jid,split,target,target_key_used,filename,formula,n_atoms,elements,unique_elements,has_O,has_N,is_oxide,is_nitride,is_oxynitride
JVASP-98550,train,-2.76746,formation_energy_peratom,POSCAR-JVASP-98550.vasp,Ba4CeMn3O12,20,Ba;Ba;Ba;Ba;Ce;Mn;Mn;Mn;O;O;O;O;O;O;O;O;O;O;O;O,Ba;Ce;Mn;O,True,False,True,False,False
JVASP-89265,train,-1.78124,formation_energy_peratom,POSCAR-JVASP-89265.vasp,Fe2SiO4,28,Fe;Fe;Fe;Fe;Fe;Fe;Fe;Fe;Si;Si;Si;Si;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Fe;O;Si,True,False,True,False,False
JVASP-90228,train,0.01013,formation_energy_peratom,POSCAR-JVASP-90228.vasp,Ag2IO6,9,Ag;Ag;I;O;O;O;O;O;O,Ag;I;O,True,False,True,False,False
JVASP-42300,train,-2.05294,formation_energy_peratom,POSCAR-JVASP-42300.vasp,Li4Mn3Cr3O12,22,Li;Li;Li;Li;Mn;Mn;Mn;Cr;Cr;Cr;O;O;O;O;O;O;O;O;O;O;O;O,Cr;Li;Mn;O,True,False,True,False,False
JVASP-86968,train,-1.32124,formation_energy_peratom,POSCAR-JVASP-86968.vasp,CdAs2O6,9,Cd;As;As;O;O;O;O;O;O,As;Cd;O,True,False,True,False,False
JVASP-90532,train,-1.66274,formation_energy_peratom,POSCAR-JVASP-90532.vasp,FeOF,9,Fe;Fe;Fe;O;O;O;F;F;F,F;Fe;O,True,False,True,False,False
JVASP-50332,train,-1.21362,formation_energy_peratom,POSCAR-JVASP-50332.vasp,Na2CuO2,5,Na;Na;Cu;O;O,Cu;Na;O,True,False,True,False,False
JVASP-48166,train,-2.01511,formation_energy_peratom,POSCAR-JVASP-48166.vasp,LiMn5O3F5,14,Li;Mn;Mn;Mn;Mn;Mn;O;O;O;F;F;F;F;F,F;Li;Mn;O,True,False,True,False,False
JVASP-97984,train,-3.52032,formation_energy_peratom,POSCAR-JVASP-97984.vasp,TbTaO4,12,Tb;Tb;Ta;Ta;O;O;O;O;O;O;O;O,O;Ta;Tb,True,False,True,False,False
JVASP-98167,train,-0.93989,formation_energy_peratom,POSCAR-JVASP-98167.vasp,FeH8Cl2O4,30,Fe;Fe;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;Cl;Cl;Cl;Cl;O;O;O;O;O;O;O;O,Cl;Fe;H;O,True,False,True,False,False
JVASP-97499,train,-2.24322,formation_energy_peratom,POSCAR-JVASP-97499.vasp,K4MnMo4O15,48,K;K;K;K;K;K;K;K;Mn;Mn;Mo;Mo;Mo;Mo;Mo;Mo;Mo;Mo;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,K;Mn;Mo;O,True,False,True,False,False
JVASP-97677,train,-2.40698,formation_energy_peratom,POSCAR-JVASP-97677.vasp,Rb2GeB4O9,64,Rb;Rb;Rb;Rb;Rb;Rb;Rb;Rb;Ge;Ge;Ge;Ge;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,B;Ge;O;Rb,True,False,True,False,False
JVASP-97570,train,-2.01742,formation_energy_peratom,POSCAR-JVASP-97570.vasp,Na2Cr2O7,22,Na;Na;Na;Na;Cr;Cr;Cr;Cr;O;O;O;O;O;O;O;O;O;O;O;O;O;O,Cr;Na;O,True,False,True,False,False
JVASP-89957,train,-2.53538,formation_energy_peratom,POSCAR-JVASP-89957.vasp,Sr2Ti2As2OF2,9,Sr;Sr;Ti;Ti;As;As;O;F;F,As;F;O;Sr;Ti,True,False,True,False,False
JVASP-98798,train,-2.27198,formation_energy_peratom,POSCAR-JVASP-98798.vasp,KMoP2O8,48,K;K;K;K;Mo;Mo;Mo;Mo;P;P;P;P;P;P;P;P;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O,K;Mo;O;P,True,False,True,False,False
JVASP-86322,train,-1.61471,formation_energy_peratom,POSCAR-JVASP-86322.vasp,LiO,8,Li;Li;Li;Li;O;O;O;O,Li;O,True,False,True,False,False
JVASP-47529,train,-1.45226,formation_energy_peratom,POSCAR-JVASP-47529.vasp,MnCoO4,6,Mn;Co;O;O;O;O,Co;Mn;O,True,False,True,False,False
JVASP-49836,train,-3.35291,formation_energy_peratom,POSCAR-JVASP-49836.vasp,CeTiO3,5,Ce;Ti;O;O;O,Ce;O;Ti,True,False,True,False,False
JVASP-1390,train,-3.02565,formation_energy_peratom,POSCAR-JVASP-1390.vasp,SrO,2,Sr;O,O;Sr,True,False,True,False,False
