jid,split
JVASP-10,train
JVASP-100000,train
JVASP-100001,train
JVASP-100002,train
JVASP-100003,train
JVASP-100005,train
JVASP-100006,train
JVASP-100007,train
JVASP-10001,train
JVASP-100010,train
JVASP-100012,train
JVASP-100013,train
JVASP-100015,val
JVASP-100017,train
JVASP-100018,train
JVASP-100020,val
JVASP-100021,val
JVASP-100022,train
JVASP-100024,train
JVASP-100026,train
JVASP-100027,train
JVASP-100028,train
JVASP-100029,train
JVASP-10003,train
JVASP-100030,train
JVASP-100032,test
JVASP-100033,train
JVASP-100034,val
JVASP-100035,train
JVASP-100036,val
JVASP-100037,train
JVASP-100038,train
JVASP-100039,val
JVASP-10004,train
JVASP-100040,train
JVASP-100041,train
JVASP-100042,train
JVASP-100044,train
JVASP-100046,train
JVASP-100047,train
JVASP-100048,train
JVASP-10005,train
JVASP-100051,train
JVASP-100052,train
JVASP-100053,train
JVASP-100054,train
JVASP-100055,train
JVASP-100056,train
JVASP-100057,train
JVASP-100058,train
JVASP-10006,train
JVASP-100060,train
JVASP-100061,train
JVASP-100062,train
JVASP-100063,test
JVASP-100064,train
JVASP-100065,train
JVASP-100066,train
JVASP-100067,train
JVASP-100068,train
JVASP-100069,train
JVASP-10007,train
JVASP-100070,train
JVASP-100072,train
JVASP-100074,train
JVASP-100075,train
JVASP-100076,train
JVASP-100077,train
JVASP-100078,train
JVASP-100079,train
JVASP-10008,train
JVASP-100080,train
JVASP-100081,train
JVASP-100082,train
JVASP-100083,train
JVASP-100084,train
JVASP-100086,train
JVASP-100088,val
JVASP-100089,train
JVASP-100094,train
JVASP-100095,train
JVASP-10010,train
JVASP-10011,train
JVASP-100114,train
JVASP-100116,train
JVASP-100119,train
JVASP-100120,train
JVASP-100121,train
JVASP-100122,val
JVASP-100123,train
JVASP-100124,train
JVASP-100125,train
JVASP-100126,train
JVASP-100127,train
JVASP-100128,train
JVASP-100129,test
JVASP-10013,train
JVASP-100130,train
JVASP-100131,train
JVASP-100132,train
JVASP-100133,train
JVASP-100134,train
JVASP-100135,test
JVASP-100136,test
JVASP-100137,train
JVASP-100138,train
JVASP-10014,train
JVASP-100140,train
JVASP-100141,train
JVASP-100142,train
JVASP-100143,train
JVASP-100144,val
JVASP-100145,train
JVASP-100146,train
JVASP-100147,train
JVASP-100148,train
JVASP-100149,train
JVASP-100150,train
JVASP-100151,train
JVASP-100152,train
JVASP-100153,test
JVASP-100154,train
JVASP-100155,train
JVASP-100156,train
JVASP-100157,train
JVASP-100158,train
JVASP-100159,train
JVASP-10016,train
JVASP-100160,test
JVASP-100161,train
JVASP-100162,train
JVASP-100163,train
JVASP-100164,train
JVASP-100165,train
JVASP-100167,train
JVASP-100168,train
JVASP-100169,train
JVASP-10017,val
JVASP-100170,train
JVASP-100171,train
JVASP-100172,train
JVASP-100174,val
JVASP-100175,train
JVASP-100176,train
JVASP-100178,train
