family,N,seed,n_train,n_val,n_test,epochs,batch_size,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,summary_path
nitride,50,0,45,5,242,50,16,0.0001,0.6841480080423153,0.34636385126246344,0.4157171845436096,Results_Hyperparameter_Set_1/nitride/N50_seed0/train_alignn_fromscratch/summary.json
nitride,50,1,45,5,242,50,16,0.0001,0.6807100150103041,0.3002153463661671,1.0093034505844116,Results_Hyperparameter_Set_1/nitride/N50_seed1/train_alignn_fromscratch/summary.json
nitride,50,2,45,5,242,50,16,0.0001,0.6808268899975483,0.4717582141773568,0.6126680374145508,Results_Hyperparameter_Set_1/nitride/N50_seed2/train_alignn_fromscratch/summary.json
nitride,50,3,45,5,242,50,16,0.0001,0.7194129458959561,0.40737212638681136,0.3086944818496704,Results_Hyperparameter_Set_1/nitride/N50_seed3/train_alignn_fromscratch/summary.json
nitride,50,4,45,5,242,50,16,0.0001,0.6920749536938657,0.4942443953723543,1.1707876920700073,Results_Hyperparameter_Set_1/nitride/N50_seed4/train_alignn_fromscratch/summary.json
nitride,500,0,450,50,242,50,16,0.0001,0.3582628523192007,0.13760401316228024,0.413251131772995,Results_Hyperparameter_Set_1/nitride/N500_seed0/train_alignn_fromscratch/summary.json
nitride,500,1,450,50,242,50,16,0.0001,0.3850557760928165,0.11173932407516986,0.41039352864027023,Results_Hyperparameter_Set_1/nitride/N500_seed1/train_alignn_fromscratch/summary.json
nitride,500,2,450,50,242,50,16,0.0001,0.39479679147104835,0.12072313339423595,0.2460445649921894,Results_Hyperparameter_Set_1/nitride/N500_seed2/train_alignn_fromscratch/summary.json
nitride,500,3,450,50,242,50,16,0.0001,0.33530047662125145,0.1656895014289249,0.33069933019578457,Results_Hyperparameter_Set_1/nitride/N500_seed3/train_alignn_fromscratch/summary.json
nitride,500,4,450,50,242,50,16,0.0001,0.3679541862408115,0.24540807783396706,0.35537776350975037,Results_Hyperparameter_Set_1/nitride/N500_seed4/train_alignn_fromscratch/summary.json
oxide,50,0,45,5,1484,50,16,0.0001,0.6036282311957091,0.0861291593975491,1.011070728302002,Results_Hyperparameter_Set_1/oxide/N50_seed0/train_alignn_fromscratch/summary.json
oxide,50,1,45,5,1484,50,16,0.0001,0.5732795851858336,0.2526135434707006,0.4457910656929016,Results_Hyperparameter_Set_1/oxide/N50_seed1/train_alignn_fromscratch/summary.json
oxide,50,2,45,5,1484,50,16,0.0001,0.4911099939788767,0.09207397003968557,0.7558118104934692,Results_Hyperparameter_Set_1/oxide/N50_seed2/train_alignn_fromscratch/summary.json
oxide,50,3,45,5,1484,50,16,0.0001,0.510386201537828,0.13022430890964137,0.35526227951049805,Results_Hyperparameter_Set_1/oxide/N50_seed3/train_alignn_fromscratch/summary.json
oxide,50,4,45,5,1484,50,16,0.0001,0.6018623857810087,0.15420541167259216,0.48393282294273376,Results_Hyperparameter_Set_1/oxide/N50_seed4/train_alignn_fromscratch/summary.json
oxide,500,0,450,50,1484,50,16,0.0001,0.25190461952238646,0.07686587939556275,0.2611008360981941,Results_Hyperparameter_Set_1/oxide/N500_seed0/train_alignn_fromscratch/summary.json
oxide,500,1,450,50,1484,50,16,0.0001,0.30099380469828907,0.20230869566400847,0.3371853604912758,Results_Hyperparameter_Set_1/oxide/N500_seed1/train_alignn_fromscratch/summary.json
oxide,500,2,450,50,1484,50,16,0.0001,0.2691343562651458,0.13362964969930344,0.28629447892308235,Results_Hyperparameter_Set_1/oxide/N500_seed2/train_alignn_fromscratch/summary.json
oxide,500,3,450,50,1484,50,16,0.0001,0.25811446786652925,0.07482288472664853,0.25814975053071976,Results_Hyperparameter_Set_1/oxide/N500_seed3/train_alignn_fromscratch/summary.json
oxide,500,4,450,50,1484,50,16,0.0001,0.24153269934163596,0.07441984856190781,0.15254946053028107,Results_Hyperparameter_Set_1/oxide/N500_seed4/train_alignn_fromscratch/summary.json
