family,N,seed,epochs,best_val_epoch,best_val_l1,test_mae_eV_per_atom,png_path,pdf_path
oxide,10,0,50,1,0.04937777668237686,0.061017215491185904,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed0_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed0_training_curves.pdf
oxide,10,1,50,1,0.022792089730501175,0.04149125672633963,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed1_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed1_training_curves.pdf
oxide,10,2,50,1,0.009573603048920631,0.03604465207750871,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed2_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed2_training_curves.pdf
oxide,10,3,50,1,0.018688488751649857,0.035633052163161184,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed3_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed3_training_curves.pdf
oxide,10,4,50,1,0.03071744553744793,0.03447181468743535,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed4_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N10_seed4_training_curves.pdf
oxide,50,0,50,50,0.03862946107983589,0.07005073417921368,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed0_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed0_training_curves.pdf
oxide,50,1,50,49,0.051486361771821976,0.06448534763725022,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed1_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed1_training_curves.pdf
oxide,50,2,50,1,0.034813810139894485,0.05068732930470956,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed2_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed2_training_curves.pdf
oxide,50,3,50,27,0.0184724573045969,0.036241260656711675,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed3_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed3_training_curves.pdf
oxide,50,4,50,10,0.03210277482867241,0.04002822036217933,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed4_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N50_seed4_training_curves.pdf
oxide,100,0,50,49,0.028849195688962936,0.05257886434410074,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N100_seed0_training_curves.png,reports/Hyperparameter Set 1/Training Curves/Finetuning/oxide/oxide_N100_seed0_training_curves.pdf
