family,N,set_number,seeds_used,n_points,mae_eV_per_atom,rmse_eV_per_atom,r2,png,pdf,source_prediction_csvs
nitride,10,3,"0,1,2,3,4",242,0.06996363462218322,0.1098446477803135,0.9867438591494915,"reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=10.png","reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=10.pdf",results/nitride/N10_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N10_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N10_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N10_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N10_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
nitride,50,3,"0,1,2,3,4",242,0.07048562034995348,0.11044197731962872,0.9865992947254706,"reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=50.png","reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=50.pdf",results/nitride/N50_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N50_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N50_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N50_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N50_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
nitride,100,3,"0,1,2,3,4",242,0.07110119509887844,0.11066733076292921,0.986544551481082,"reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=100.png","reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=100.pdf",results/nitride/N100_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N100_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N100_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N100_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N100_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
nitride,200,3,"0,1,2,3,4",242,0.07386858225453738,0.1131869222670605,0.9859248895815487,"reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=200.png","reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=200.pdf",results/nitride/N200_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N200_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N200_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N200_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N200_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
nitride,500,3,"0,1,2,3,4",242,0.08044444363071653,0.11802236208686974,0.9846966005865344,"reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=500.png","reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=500.pdf",results/nitride/N500_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N500_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N500_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N500_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N500_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
nitride,1000,3,"0,1,2,3,4",242,0.07568156096837983,0.11334253199780353,0.985886161967758,"reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=1000.png","reports/Hyperparameter Set 3/Parity Plots/Nitride Parity Plot - Hyperparameter Set 3, N=1000.pdf",results/nitride/N1000_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N1000_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N1000_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N1000_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/nitride/N1000_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
oxide,10,3,"0,1,2,3,4",1484,0.03544522642375741,0.06962307085501276,0.994432800354695,"reports/Hyperparameter Set 3/Parity Plots/Oxide Parity Plot - Hyperparameter Set 3, N=10.png","reports/Hyperparameter Set 3/Parity Plots/Oxide Parity Plot - Hyperparameter Set 3, N=10.pdf",results/oxide/N10_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N10_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N10_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N10_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N10_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
oxide,50,3,"0,1,2,3,4",1484,0.03692198304181437,0.07054035572175445,0.9942851381388863,"reports/Hyperparameter Set 3/Parity Plots/Oxide Parity Plot - Hyperparameter Set 3, N=50.png","reports/Hyperparameter Set 3/Parity Plots/Oxide Parity Plot - Hyperparameter Set 3, N=50.pdf",results/oxide/N50_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N50_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N50_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N50_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N50_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
oxide,100,3,"0,1,2,3,4",1484,0.036312988093480554,0.07100090446257758,0.994210271367697,"reports/Hyperparameter Set 3/Parity Plots/Oxide Parity Plot - Hyperparameter Set 3, N=100.png","reports/Hyperparameter Set 3/Parity Plots/Oxide Parity Plot - Hyperparameter Set 3, N=100.pdf",results/oxide/N100_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N100_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N100_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N100_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N100_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
oxide,200,3,"0,1,2,3,4",1484,0.03593698231044609,0.07136014638750893,0.9941515347889662,"reports/Hyperparameter Set 3/Parity Plots/Oxide Parity Plot - Hyperparameter Set 3, N=200.png","reports/Hyperparameter Set 3/Parity Plots/Oxide Parity Plot - Hyperparameter Set 3, N=200.pdf",results/oxide/N200_seed0/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N200_seed1/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N200_seed2/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N200_seed3/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv;results/oxide/N200_seed4/finetune_last2_epochs100_bs32_lr5e5/prediction_results_test_set.csv
