family,N,seed_0,seed_1,seed_2,seed_3,seed_4
nitride,10,0.07067536597317162,0.07036073740633313,0.07016104429744738,0.07030223050608861,0.07053778268981817
nitride,50,0.07058847602456808,0.07046521933025811,0.07176730694818842,0.07025987777304797,0.0704646641542473
nitride,100,0.0713185384515519,0.07225726448646015,0.07282278507424533,0.07096283415655706,0.07144282140176404
nitride,200,0.07397553981243332,0.07541776124449555,0.07464463349185453,0.07411063829637017,0.07387269064322237
nitride,500,0.08392129605251157,0.0817366120875005,0.08123075317837729,0.07981861477394488,0.0809081614956506
nitride,1000,0.07619024978658138,0.07657949496368485,0.07653737415305593,0.07634330033671019,0.07613685350741975
oxide,10,0.039181611567046595,0.03738551801858179,0.0346169774820639,0.035664592448947076,0.034483518048391656
oxide,50,0.039948824695982994,0.03981514029142715,0.03641726179854854,0.036178945496739855,0.03983125779253739
oxide,100,0.03622613992178662,0.03665948787536547,0.03647911185703072,0.035797426101313576,0.039097680906844234
oxide,200,0.03628438742372592,0.036019162441361594,0.03614974021488007,0.03595118445605969,0.03644060519303639
oxide,500,0.03634326631718533,0.03591665216973252,0.035667674739768535,0.03553463089687127,0.03586168338515171
oxide,1000,0.03580053347289045,0.035710351002707606,0.03550837771710375,0.035516659253009536,0.03531874660882632
