family,N,seed,epochs,best_val_epoch,best_val_l1,test_mae_eV_per_atom,png_path,pdf_path
oxide,50,0,100,30,1.0734935998916626,0.7261607951277207,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed0_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed0_training_curves.pdf
oxide,50,1,100,49,0.5120070576667786,0.5594283735824842,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed1_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed1_training_curves.pdf
oxide,50,2,100,36,0.7610920071601868,0.719412403990925,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed2_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed2_training_curves.pdf
oxide,50,3,100,92,0.3393092155456543,0.5279590340936494,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed3_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed3_training_curves.pdf
oxide,50,4,100,97,0.6099576354026794,0.7455068211159995,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed4_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N50_seed4_training_curves.pdf
oxide,500,0,100,59,0.21270623058080673,0.27362518507382905,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed0_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed0_training_curves.pdf
oxide,500,1,100,61,0.25121624022722244,0.2807604010049643,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed1_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed1_training_curves.pdf
oxide,500,2,100,63,0.2647799029946327,0.26660338224578933,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed2_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed2_training_curves.pdf
oxide,500,3,100,97,0.19879788160324097,0.2665219163179154,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed3_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed3_training_curves.pdf
oxide,500,4,100,79,0.18077769130468369,0.25755035121202835,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed4_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/oxide/oxide_N500_seed4_training_curves.pdf
nitride,50,0,100,1,0.6234790086746216,0.7788555936364472,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed0_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed0_training_curves.pdf
nitride,50,1,100,50,1.1570360660552979,0.6615728873390058,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed1_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed1_training_curves.pdf
nitride,50,2,100,6,0.7462803721427917,0.7951057293598564,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed2_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed2_training_curves.pdf
nitride,50,3,100,66,0.2406168431043625,0.6609531530556231,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed3_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed3_training_curves.pdf
nitride,50,4,100,35,1.1367677450180054,0.7203241442445635,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed4_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N50_seed4_training_curves.pdf
nitride,500,0,100,83,0.42173387110233307,0.3516373963380032,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed0_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed0_training_curves.pdf
nitride,500,1,100,96,0.3219689428806305,0.387963366525417,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed1_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed1_training_curves.pdf
nitride,500,2,100,78,0.3137773722410202,0.38363648031276365,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed2_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed2_training_curves.pdf
nitride,500,3,100,58,0.4362410008907318,0.39781623035053576,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed3_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed3_training_curves.pdf
nitride,500,4,100,81,0.40073978900909424,0.3403838566496722,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed4_training_curves.png,reports/Hyperparameter Set 3/Training Curves/From Scratch/nitride/nitride_N500_seed4_training_curves.pdf
