number_id,namespace,family,experiment_type,metric_name,N,embedding_source,value,unit,source_file_path,source_locator,paper_visibility,interpretation_label,ambiguity_flag,ambiguity_note
CN_ZS_OXIDE_N_TEST,Results_Before_Correction,oxide,zero_shot,n_test,,,1484,count,reports/zero_shot/zero_shot_summary.csv,family=oxide,main_text,oxide zero-shot test set size,none,
CN_ZS_OXIDE_MAE,Results_Before_Correction,oxide,zero_shot,mae_eV_per_atom,,,0.03418360680813096,eV_per_atom,reports/zero_shot/zero_shot_summary.csv,family=oxide,main_text,oxide zero-shot MAE,none,
CN_ZS_NITRIDE_N_TEST,Results_Before_Correction,nitride,zero_shot,n_test,,,242,count,reports/zero_shot/zero_shot_summary.csv,family=nitride,main_text,nitride zero-shot test set size,none,
CN_ZS_NITRIDE_MAE,Results_Before_Correction,nitride,zero_shot,mae_eV_per_atom,,,0.06954201496284854,eV_per_atom,reports/zero_shot/zero_shot_summary.csv,family=nitride,main_text,nitride zero-shot MAE,none,
CN_FT_S1_OXIDE_N10_MEAN_TEST_MAE,Results_Hyperparameter_Set_1,oxide,fine_tuning,mean_test_mae_eV_per_atom,10,,0.04173159822912616,eV_per_atom,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=10,main_text,oxide fine-tune MAE at N=10,zero_shot_checkpoint_at_low_N,mean_best_epoch=1.0 at N=10; oxide begins adapting at N>=50; this row reflects pretrained initialization advantage at very low data scale
CN_FT_S1_OXIDE_N10_STD_TEST_MAE,Results_Hyperparameter_Set_1,oxide,fine_tuning,std_test_mae_eV_per_atom,10,,0.01111565197074509,eV_per_atom,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=10,main_text,oxide fine-tune MAE std at N=10,zero_shot_checkpoint_at_low_N,mean_best_epoch=1.0 at N=10; oxide begins adapting at N>=50; this row reflects pretrained initialization advantage at very low data scale
CN_FT_S1_OXIDE_N10_TRANSFER_GAIN_VS_ZERO_SHOT,Results_Hyperparameter_Set_1,oxide,fine_tuning,transfer_gain_vs_zero_shot,10,,-0.007547991420995194,eV_per_atom,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=10,main_text,oxide fine-tune gain vs zero-shot at N=10,zero_shot_checkpoint_at_low_N,mean_best_epoch=1.0 at N=10; oxide begins adapting at N>=50; this row reflects pretrained initialization advantage at very low data scale
CN_FT_S1_OXIDE_N10_MEAN_BEST_EPOCH,Results_Hyperparameter_Set_1,oxide,fine_tuning,mean_best_epoch,10,,1.0,epoch,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=10,main_text,oxide fine-tune mean best epoch at N=10,zero_shot_checkpoint_at_low_N,mean_best_epoch=1.0 at N=10; oxide begins adapting at N>=50; this row reflects pretrained initialization advantage at very low data scale
CN_FT_S1_OXIDE_N50_MEAN_TEST_MAE,Results_Hyperparameter_Set_1,oxide,fine_tuning,mean_test_mae_eV_per_atom,50,,0.05229857842801289,eV_per_atom,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=50,main_text,oxide fine-tune MAE at N=50,none,
CN_FT_S1_OXIDE_N50_STD_TEST_MAE,Results_Hyperparameter_Set_1,oxide,fine_tuning,std_test_mae_eV_per_atom,50,,0.014787255005441039,eV_per_atom,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=50,main_text,oxide fine-tune MAE std at N=50,none,
CN_FT_S1_OXIDE_N50_TRANSFER_GAIN_VS_ZERO_SHOT,Results_Hyperparameter_Set_1,oxide,fine_tuning,transfer_gain_vs_zero_shot,50,,-0.018114971619881924,eV_per_atom,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=50,main_text,oxide fine-tune gain vs zero-shot at N=50,none,
CN_FT_S1_OXIDE_N50_MEAN_BEST_EPOCH,Results_Hyperparameter_Set_1,oxide,fine_tuning,mean_best_epoch,50,,18.5,epoch,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=50,main_text,oxide fine-tune mean best epoch at N=50,none,
CN_FT_S1_OXIDE_N100_MEAN_TEST_MAE,Results_Hyperparameter_Set_1,oxide,fine_tuning,mean_test_mae_eV_per_atom,100,,0.04649868449619833,eV_per_atom,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=100,main_text,oxide fine-tune MAE at N=100,none,
CN_FT_S1_OXIDE_N100_STD_TEST_MAE,Results_Hyperparameter_Set_1,oxide,fine_tuning,std_test_mae_eV_per_atom,100,,0.008637291877644603,eV_per_atom,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,family=oxide; N=100,main_text,oxide fine-tune MAE std at N=100,none,
