figure_id,category,namespace_role,namespace,family_or_scope,main_text_status,preferred_path,alternate_path_or_manifest,source_evidence,notes
FIG_S1_LC_OXIDE,learning_curve,main_results,Results_Hyperparameter_Set_1,oxide,main_text_candidate,reports/Hyperparameter Set 1/Learning Curves/Oxide Learning Curve - Hyperparameter Set 1.png,reports/Hyperparameter Set 1/Learning Curves/Oxide Learning Curve - Hyperparameter Set 1.pdf,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Canonical oxide fine-tuning learning curve.
FIG_S1_LC_NITRIDE,learning_curve,main_results,Results_Hyperparameter_Set_1,nitride,main_text_candidate,reports/Hyperparameter Set 1/Learning Curves/Nitride Learning Curve - Hyperparameter Set 1.png,reports/Hyperparameter Set 1/Learning Curves/Nitride Learning Curve - Hyperparameter Set 1.pdf,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,Canonical nitride fine-tuning learning curve.
FIG_S1_COMP_OXIDE,comparison_plot,main_results,Results_Hyperparameter_Set_1,oxide,main_text_candidate,reports/Hyperparameter Set 1/Comparison Plots/Oxide Comparison Plot - Hyperparameter Set 1.png,reports/Hyperparameter Set 1/Comparison Plots/Oxide Comparison Plot - Hyperparameter Set 1.pdf,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_summary.csv,Canonical oxide fine-tune versus scratch comparison plot.
FIG_S1_COMP_NITRIDE,comparison_plot,main_results,Results_Hyperparameter_Set_1,nitride,main_text_candidate,reports/Hyperparameter Set 1/Comparison Plots/Nitride Comparison Plot - Hyperparameter Set 1.png,reports/Hyperparameter Set 1/Comparison Plots/Nitride Comparison Plot - Hyperparameter Set 1.pdf,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_summary.csv,Canonical nitride fine-tune versus scratch comparison plot.
FIG_S1_PARITY_COLLECTION,parity_plot_collection,main_results,Results_Hyperparameter_Set_1,oxide+nitride_family_by_N,appendix_support,reports/Hyperparameter Set 1/Parity Plots/parity_plot_manifest.csv,reports/Hyperparameter Set 1/Parity Plots/parity_plot_manifest.json,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_runs.csv,Twelve parity plots aggregated by family and N.
FIG_S1_FT_CURVE_COLLECTION,training_curve_collection,main_results,Results_Hyperparameter_Set_1,finetuning_runs,appendix_support,reports/Hyperparameter Set 1/Training Curves/Finetuning/training_curve_manifest.csv,,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_runs.csv,Sixty fine-tuning training-curve figure pairs.
FIG_S1_FS_CURVE_COLLECTION,training_curve_collection,main_results,Results_Hyperparameter_Set_1,fromscratch_runs,appendix_support,reports/Hyperparameter Set 1/Training Curves/From Scratch/training_curve_manifest.csv,,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_runs.csv,Twenty from-scratch training-curve figure pairs.
FIG_S2_LC_OXIDE,learning_curve,robustness_comparison,Results_Hyperparameter_Set_2,oxide,robustness_only,reports/Hyperparameter Set 2/Learning Curves/Oxide Learning Curve - Hyperparameter Set 2.png,reports/Hyperparameter Set 2/Learning Curves/Oxide Learning Curve - Hyperparameter Set 2.pdf,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_summary_by_N.csv,Robustness-only oxide learning curve for Set 2.
FIG_S2_LC_NITRIDE,learning_curve,robustness_comparison,Results_Hyperparameter_Set_2,nitride,robustness_only,reports/Hyperparameter Set 2/Learning Curves/Nitride Learning Curve - Hyperparameter Set 2.png,reports/Hyperparameter Set 2/Learning Curves/Nitride Learning Curve - Hyperparameter Set 2.pdf,reports/Hyperparameter Set 2/Summaries/Finetuning/finetune_summary_by_N.csv,Robustness-only nitride learning curve for Set 2.
FIG_S2_COMP_OXIDE,comparison_plot,robustness_comparison,Results_Hyperparameter_Set_2,oxide,robustness_only,reports/Hyperparameter Set 2/Comparison Plots/Oxide Comparison Plot - Hyperparameter Set 2.png,reports/Hyperparameter Set 2/Comparison Plots/Oxide Comparison Plot - Hyperparameter Set 2.pdf,reports/Hyperparameter Set 2/Summaries/From Scratch/fromscratch_summary.csv,Robustness-only oxide comparison plot for Set 2.
