artifact_id,category,artifact_kind,namespace_role,namespace,setting_scope,canonical_status,main_text_status,path,secondary_path_or_manifest,notes
CTX_01,dataset_context,summary_json,shared_context,data_shared,oxide_family_dataset,context_support,appendix_context,data_shared/oxide/summaries/summary.json,,Frozen oxide counts and split provenance.
CTX_02,dataset_context,summary_json,shared_context,data_shared,nitride_family_dataset,context_support,appendix_context,data_shared/nitride/summaries/summary.json,,Frozen nitride counts and split provenance.
ZS_01,zero_shot_evaluation,summary_table,canonical_baseline,Results_Before_Correction,pretrained_zero_shot,canonical,main_text_candidate,reports/zero_shot/zero_shot_summary.csv,Results_Before_Correction/oxide/zero_shot/predictions.csv; Results_Before_Correction/nitride/zero_shot/predictions.csv,Single canonical zero-shot MAE table.
ZS_02,zero_shot_evaluation,prediction_table,canonical_baseline,Results_Before_Correction,oxide_zero_shot,canonical,appendix_support,Results_Before_Correction/oxide/zero_shot/predictions.csv,,Per-structure oxide zero-shot predictions.
ZS_03,zero_shot_evaluation,prediction_table,canonical_baseline,Results_Before_Correction,nitride_zero_shot,canonical,appendix_support,Results_Before_Correction/nitride/zero_shot/predictions.csv,,Per-structure nitride zero-shot predictions.
S1_FT_01,fine_tuning,summary_bundle,main_results,Results_Hyperparameter_Set_1,epochs=50; batch_size=16; learning_rate=0.0001,canonical_main,main_text_candidate,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_by_N.csv,reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_runs.csv; reports/Hyperparameter Set 1/Summaries/Finetuning/finetune_summary_wide.csv,Canonical fine-tuning summary tables.
S1_FT_02,fine_tuning,learning_curve_figures,main_results,Results_Hyperparameter_Set_1,epochs=50; batch_size=16; learning_rate=0.0001,canonical_main,main_text_candidate,reports/Hyperparameter Set 1/Learning Curves/,reports/Hyperparameter Set 1/Summaries/Finetuning/week2_summary_manifest.json,Oxide and nitride aggregate learning curves.
S1_FT_03,fine_tuning,training_curve_manifest,main_results,Results_Hyperparameter_Set_1,epochs=50; batch_size=16; learning_rate=0.0001,canonical_main,appendix_support,reports/Hyperparameter Set 1/Training Curves/Finetuning/training_curve_manifest.csv,,Sixty per-run fine-tuning training curves.
S1_FT_04,fine_tuning,parity_plot_manifest,main_results,Results_Hyperparameter_Set_1,epochs=50; batch_size=16; learning_rate=0.0001,canonical_main,appendix_support,reports/Hyperparameter Set 1/Parity Plots/parity_plot_manifest.csv,reports/Hyperparameter Set 1/Parity Plots/parity_plot_manifest.json,Twelve family-by-N parity plots.
S1_FS_01,from_scratch,summary_bundle,main_results,Results_Hyperparameter_Set_1,epochs=50; batch_size=16; learning_rate=0.0001,canonical_main,main_text_candidate,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_summary.csv,reports/Hyperparameter Set 1/Summaries/From Scratch/fromscratch_runs.csv; reports/Hyperparameter Set 1/Summaries/From Scratch/week3_fromscratch_manifest.json,Canonical from-scratch summary tables.
