manuscript,section,placeholder_text,zotero_title,zotero_authors,zotero_year,zotero_key_or_id,status
oxide_report,1. Introduction,"[CITE: crystal graph baseline for materials property prediction]","Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals","Chen et al.",2019,DKG62IFQ,NEEDS_REVIEW
oxide_report,1. Introduction,"[CITE: CGCNN foundational paper]","Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties","Xie & Grossman",2018,4K3VGEUE,RESOLVED
oxide_report,1. Introduction,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
oxide_report,1. Introduction,"[CITE: JARVIS dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
oxide_report,1. Introduction,"[CITE: transfer learning in materials informatics]","Transfer learning for materials informatics using crystal graph convolutional neural network | Predicting melting temperature of inorganic crystals via crystal graph neural network enhanced by transfer learning","Lee & Asahi | Kim et al.",2021 | 2024,EIITR8T3 | E9PT9HW4,NEEDS_REVIEW
oxide_report,1. Introduction,"[CITE: domain shift or OOD benchmark in materials property prediction]","Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study | Probing out-of-distribution generalization in machine learning for materials | Out-of-Distribution Material Property Prediction Using Adversarial Learning | Realistic material property prediction using domain adaptation based machine learning","Omee et al. | Li et al. (Kangming) | Li et al. (Qinyang) | Hu et al.",2024 | 2025 | 2025 | 2024,VNA4JJ3A | QGDLHVAF | 7STQCC9U | NLBNY4TV,NEEDS_REVIEW
oxide_report,2.1 Dataset and prediction target,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
oxide_report,2.3 Split protocol and subset construction,"[CITE: JARVIS 2020 dataset/repository paper]","The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design","Choudhary et al.",2020,TR6CHAD2,RESOLVED
oxide_report,2.4 Zero-shot evaluation,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
oxide_report,2.6 Hyperparameter setting,"[CITE: ALIGNN foundational paper]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
oxide_report,3.1 Zero-shot results,"[CITE: Choudhary & DeCost 2021 — ALIGNN]","Atomistic Line Graph Neural Network for improved materials property predictions","Choudhary & DeCost",2021,U9NHTD8R,RESOLVED
