family,N,seed,epochs,best_val_epoch,best_val_l1,test_mae_eV_per_atom,png_path,pdf_path
oxide,10,0,300,1,0.01808021031320095,0.03848427807836294,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed0_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed0_training_curves.pdf
oxide,10,1,300,22,0.015003454871475697,0.041560297928068965,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed1_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed1_training_curves.pdf
oxide,10,2,300,1,0.006180453579872847,0.03435402484896224,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed2_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed2_training_curves.pdf
oxide,10,3,300,1,0.017744112759828568,0.035108335934814085,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed3_training_curves.pdf
oxide,10,4,300,1,0.02986016310751438,0.03431899584387366,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N10_seed4_training_curves.pdf
oxide,50,0,300,1,0.010474133305251598,0.03577116215736492,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed0_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed0_training_curves.pdf
oxide,50,1,300,19,0.011128461919724941,0.03870001571165709,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed1_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed1_training_curves.pdf
oxide,50,2,300,17,0.007210684008896351,0.03655870014131998,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed2_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed2_training_curves.pdf
oxide,50,3,300,1,0.01878497563302517,0.03549485340713827,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed3_training_curves.pdf
oxide,50,4,300,1,0.030544424429535866,0.035147075185952635,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_alignn_defaults_colab_5seed/training_curves/oxide/oxide_N50_seed4_training_curves.pdf
