family,N,seed,n_train,n_val,n_test,epochs,batch_size,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,device,elapsed_seconds,summary_path
nitride,10,3,5,5,242,50,16,0.0001,0.07029903026620958,0.006508579850196839,0.00784252304583788,cuda,12.482859373092651,/content/res201-alignn-domain-shift/results/nitride/N10_seed3/finetune_last2/summary.json
nitride,10,4,5,5,242,50,16,0.0001,0.0705313472816151,0.008791002631187438,0.010180795565247536,cuda,12.769246101379395,/content/res201-alignn-domain-shift/results/nitride/N10_seed4/finetune_last2/summary.json
nitride,50,3,45,5,242,50,16,0.0001,0.07079923387678448,0.020637809557633266,0.008826944045722485,cuda,18.79655408859253,/content/res201-alignn-domain-shift/results/nitride/N50_seed3/finetune_last2/summary.json
nitride,50,4,45,5,242,50,16,0.0001,0.07116951574071133,0.008343567668149868,0.014504349790513515,cuda,18.490474224090576,/content/res201-alignn-domain-shift/results/nitride/N50_seed4/finetune_last2/summary.json
nitride,100,3,90,10,242,50,16,0.0001,0.07359627905986772,0.02160959872417152,0.014902608469128609,cuda,27.03308367729187,/content/res201-alignn-domain-shift/results/nitride/N100_seed3/finetune_last2/summary.json
nitride,100,4,90,10,242,50,16,0.0001,0.07499829198672506,0.017682347929156902,0.026169199496507645,cuda,26.259845495224,/content/res201-alignn-domain-shift/results/nitride/N100_seed4/finetune_last2/summary.json
nitride,200,3,180,20,242,50,16,0.0001,0.08527792489140733,0.027853628193649154,0.07052576914429665,cuda,44.09433054924011,/content/res201-alignn-domain-shift/results/nitride/N200_seed3/finetune_last2/summary.json
nitride,200,4,180,20,242,50,16,0.0001,0.08495875193221757,0.03463035005325865,0.02786434069275856,cuda,44.10339140892029,/content/res201-alignn-domain-shift/results/nitride/N200_seed4/finetune_last2/summary.json
nitride,500,3,450,50,242,50,16,0.0001,0.07792982184289654,0.022063210459891708,0.06294879503548145,cuda,93.40838479995728,/content/res201-alignn-domain-shift/results/nitride/N500_seed3/finetune_last2/summary.json
nitride,500,4,450,50,242,50,16,0.0001,0.07873929706825451,0.02512178434783386,0.029991925694048405,cuda,93.06878185272217,/content/res201-alignn-domain-shift/results/nitride/N500_seed4/finetune_last2/summary.json
nitride,1000,3,900,100,242,50,16,0.0001,0.07628011868974148,0.020286033337470144,0.0367802589067391,cuda,176.41687631607056,/content/res201-alignn-domain-shift/results/nitride/N1000_seed3/finetune_last2/summary.json
nitride,1000,4,900,100,242,50,16,0.0001,0.07577396422039626,0.019561153224680716,0.02157662489584514,cuda,174.97920489311218,/content/res201-alignn-domain-shift/results/nitride/N1000_seed4/finetune_last2/summary.json
oxide,10,3,5,5,1484,50,16,0.0001,0.035633052163161184,0.013076938316226005,0.018688488751649857,cuda,52.73000884056091,/content/res201-alignn-domain-shift/results/oxide/N10_seed3/finetune_last2/summary.json
oxide,10,4,5,5,1484,50,16,0.0001,0.03447181468743535,0.010184067487716674,0.03071744553744793,cuda,42.35470247268677,/content/res201-alignn-domain-shift/results/oxide/N10_seed4/finetune_last2/summary.json
oxide,50,3,45,5,1484,50,16,0.0001,0.036241260656711675,0.008496906815303696,0.0184724573045969,cuda,50.5656840801239,/content/res201-alignn-domain-shift/results/oxide/N50_seed3/finetune_last2/summary.json
oxide,50,4,45,5,1484,50,16,0.0001,0.04002822036217933,0.019530428780449763,0.03210277482867241,cuda,49.7069890499115,/content/res201-alignn-domain-shift/results/oxide/N50_seed4/finetune_last2/summary.json
oxide,100,3,90,10,1484,50,16,0.0001,0.03604405455249224,0.00933281249470181,0.01390132773667574,cuda,58.248607873916626,/content/res201-alignn-domain-shift/results/oxide/N100_seed3/finetune_last2/summary.json
oxide,100,4,90,10,1484,50,16,0.0001,0.038285568407504515,0.012268544185078806,0.027794066816568375,cuda,57.69627022743225,/content/res201-alignn-domain-shift/results/oxide/N100_seed4/finetune_last2/summary.json
oxide,200,3,180,20,1484,50,16,0.0001,0.0361465084100722,0.007328081876039505,0.013465349562466145,cuda,75.85002660751343,/content/res201-alignn-domain-shift/results/oxide/N200_seed3/finetune_last2/summary.json
oxide,200,4,180,20,1484,50,16,0.0001,0.03713763155111531,0.006962482713990741,0.019353017210960388,cuda,76.64601063728333,/content/res201-alignn-domain-shift/results/oxide/N200_seed4/finetune_last2/summary.json
oxide,500,3,450,50,1484,50,16,0.0001,0.03617321007594471,0.008500465166030658,0.011019670171663165,cuda,127.95030188560486,/content/res201-alignn-domain-shift/results/oxide/N500_seed3/finetune_last2/summary.json
oxide,500,4,450,50,1484,50,16,0.0001,0.036199952702438386,0.006217588557758265,0.0118500255048275,cuda,126.86277937889099,/content/res201-alignn-domain-shift/results/oxide/N500_seed4/finetune_last2/summary.json
oxide,1000,3,900,100,1484,50,16,0.0001,0.035967013940015544,0.00974812548659328,0.012819361473832811,cuda,216.23325538635254,/content/res201-alignn-domain-shift/results/oxide/N1000_seed3/finetune_last2/summary.json
oxide,1000,4,900,100,1484,50,16,0.0001,0.03581004907678928,0.007426757268711097,0.009569591443453516,cuda,216.4625895023346,/content/res201-alignn-domain-shift/results/oxide/N1000_seed4/finetune_last2/summary.json
