family,N,runs,n_train,n_val,n_test,mean_test_mae_eV_per_atom,std_test_mae_eV_per_atom,mean_train_mae_eV_per_atom,mean_val_best_l1,zero_shot_mae_eV_per_atom,summary_path,transfer_gain_vs_zero_shot
nitride,10,2,5,5,242,0.07041518877391234,0.00016427293697826272,0.0076497912406921385,0.009011659305542707,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.0008731738110638043
nitride,50,2,45,5,242,0.0709843748087479,0.0002618288169330678,0.014490688612891567,0.011665646918118,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.0014423598458993686
nitride,100,2,90,10,242,0.0742972855232964,0.0009913728478920158,0.01964597332666421,0.020535903982818127,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.004755270560447861
nitride,200,2,180,20,242,0.08511833841181245,0.0002256893638144578,0.031241989123453905,0.0491950549185276,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.01557632344896391
nitride,500,2,450,50,242,0.07833455945557552,0.000572385421053136,0.023592497403862784,0.04647036036476493,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.008792544492726984
nitride,1000,2,900,100,242,0.07602704145506886,0.00035790525760188155,0.01992359328107543,0.029178441901292117,0.06954201496284854,/content/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.006485026492220325
oxide,10,2,5,5,1484,0.03505243342529826,0.0008211188936536851,0.011630502901971339,0.024702967144548893,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.0008688266171672995
oxide,50,2,45,5,1484,0.0381347405094455,0.0026777848878163928,0.01401366779787673,0.025287616066634655,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.003951133701314537
oxide,100,2,90,10,1484,0.03716481147999838,0.0015849896470027781,0.010800678339890308,0.020847697276622057,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.002981204671867417
oxide,200,2,180,20,1484,0.03664206998059376,0.0007008298940224925,0.007145282295015123,0.016409183386713266,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.002458463172462795
oxide,500,2,450,50,1484,0.03618658138919155,1.8909892540414957e-05,0.0073590268618944615,0.011434847838245332,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.002002974581060586
oxide,1000,2,900,100,1484,0.03588853150840241,0.00011099091919531007,0.008587441377652189,0.011194476458643163,0.03418360680813096,/content/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.0017049247002714485
