family,N,seed,epochs,best_val_epoch,best_val_l1,test_mae_eV_per_atom,png_path,pdf_path
oxide,10,3,50,1,0.018688488751649857,0.035633052163161184,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N10_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N10_seed3_training_curves.pdf
oxide,10,4,50,1,0.03071744553744793,0.03447181468743535,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N10_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N10_seed4_training_curves.pdf
oxide,50,3,50,27,0.0184724573045969,0.036241260656711675,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N50_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N50_seed3_training_curves.pdf
oxide,50,4,50,10,0.03210277482867241,0.04002822036217933,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N50_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N50_seed4_training_curves.pdf
oxide,100,3,50,26,0.01390132773667574,0.03604405455249224,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N100_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N100_seed3_training_curves.pdf
oxide,100,4,50,14,0.027794066816568375,0.038285568407504515,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N100_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N100_seed4_training_curves.pdf
oxide,200,3,50,40,0.013465349562466145,0.0361465084100722,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N200_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N200_seed3_training_curves.pdf
oxide,200,4,50,38,0.019353017210960388,0.03713763155111531,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N200_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N200_seed4_training_curves.pdf
oxide,500,3,50,28,0.011019670171663165,0.03617321007594471,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N500_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N500_seed3_training_curves.pdf
oxide,500,4,50,50,0.0118500255048275,0.036199952702438386,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N500_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N500_seed4_training_curves.pdf
oxide,1000,3,50,27,0.012819361473832811,0.035967013940015544,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N1000_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N1000_seed3_training_curves.pdf
oxide,1000,4,50,44,0.009569591443453516,0.03581004907678928,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N1000_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/oxide/oxide_N1000_seed4_training_curves.pdf
nitride,10,3,50,1,0.00784252304583788,0.07029903026620958,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/nitride/nitride_N10_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/nitride/nitride_N10_seed3_training_curves.pdf
nitride,10,4,50,1,0.010180795565247536,0.0705313472816151,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/nitride/nitride_N10_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/nitride/nitride_N10_seed4_training_curves.pdf
nitride,50,3,50,1,0.008826944045722485,0.07079923387678448,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/nitride/nitride_N50_seed3_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/nitride/nitride_N50_seed3_training_curves.pdf
nitride,50,4,50,1,0.014504349790513515,0.07116951574071133,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/nitride/nitride_N50_seed4_training_curves.png,/content/res201-alignn-domain-shift/reports/week2_seed34_last2_colab/training_curves/nitride/nitride_N50_seed4_training_curves.pdf
