family,N,runs,n_train,n_val,n_test,mean_test_mae_eV_per_atom,std_test_mae_eV_per_atom,mean_train_mae_eV_per_atom,mean_val_best_l1,zero_shot_mae_eV_per_atom,summary_path,transfer_gain_vs_zero_shot
nitride,10,3,5,5,242,0.09875187016356501,0.01762612775948404,0.08660242656866708,0.06395851324001949,0.06954201496284854,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.029209855200716478
nitride,50,3,45,5,242,0.1481643521532252,0.022098175436078955,0.12544057908709402,0.1295576865474383,0.06954201496284854,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.07862233719037667
nitride,100,3,90,10,242,0.2375391674184397,0.06204594808496926,0.2081577026832814,0.20355128248532614,0.06954201496284854,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.16799715245559116
nitride,200,3,180,20,242,0.17524182506818994,0.06549289313156718,0.10882621011675198,0.10720622912049294,0.06954201496284854,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.10569981010534141
nitride,500,3,450,50,242,0.11053898141106216,0.003723448905761298,0.07383894647836482,0.06543173889319102,0.06954201496284854,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.04099696644821363
nitride,1000,3,900,100,242,0.10040082470270147,0.0026234979750953597,0.06281364934429735,0.06241934879549912,0.06954201496284854,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/nitride/zero_shot/summary.json,-0.03085880973985293
oxide,10,3,5,5,1484,0.046184374765011416,0.013131117566917604,0.026470470428466796,0.027247823153932888,0.03418360680813096,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.012000767956880452
oxide,50,3,45,5,1484,0.06174113704039116,0.009969121372188606,0.045459510054853235,0.04164321099718412,0.03418360680813096,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.027557530232260194
oxide,100,3,90,10,1484,0.0527212665069983,0.0016575735472235127,0.03292571758782422,0.04208973050117493,0.03418360680813096,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.018537659698867337
oxide,200,3,180,20,1484,0.05173988351984341,0.0033681290462828656,0.031096443675536045,0.03122030881543954,0.03418360680813096,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.01755627671171245
oxide,500,3,450,50,1484,0.04748018422279706,0.0010716847278287585,0.027617114403336824,0.02845338995878895,0.03418360680813096,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.013296577414666097
oxide,1000,3,900,100,1484,0.04556131660997883,0.0008622499427915159,0.02652122697021157,0.029133573884055727,0.03418360680813096,/mnt/c/Users/lenovo/Desktop/res201-alignn-domain-shift/results/oxide/zero_shot/summary.json,-0.011377709801847866
