family,N,runs,n_train,n_val,n_test,mean_test_mae_eV_per_atom,std_test_mae_eV_per_atom,mean_train_mae_eV_per_atom,mean_val_best_l1,mean_best_epoch,mean_final_batch_size,zero_shot_mae_eV_per_atom,summary_path,transfer_gain_vs_zero_shot
nitride,10,5,5,5,242,0.08741719760770394,0.01990570747172502,0.05502137243747711,0.04197977166622877,1.0,16.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.01787518264485541
nitride,50,5,45,5,242,0.1172923612154343,0.04506890822121626,0.08106062289741303,0.08240087069571018,1.0,16.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.04775034625258576
nitride,100,5,90,10,242,0.17224241466038237,0.09959653178355464,0.13275301094063455,0.13034513108432294,1.0,16.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.10270039969753383
nitride,200,5,180,20,242,0.13919243040563894,0.06768563446865479,0.07779252171943275,0.08400175943970681,1.0,16.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.06965041544279041
nitride,500,5,450,50,242,0.0976572126288675,0.01783679848489001,0.053740366848564015,0.057847187481820585,40.5,16.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.02811519766601897
nitride,1000,5,900,100,242,0.09065131140364843,0.013479532180190537,0.045657626919008584,0.04912298603781632,45.0,16.0,0.06954201496284854,results/nitride/zero_shot/summary.json,-0.021109296440799896
oxide,10,5,5,5,1484,0.04173159822912616,0.01111565197074509,0.020534483417868614,0.02622988075017929,1.0,16.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.007547991420995194
oxide,50,5,45,5,1484,0.05229857842801289,0.014787255005441039,0.032881173152062626,0.03510097302496433,18.5,16.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.018114971619881924
oxide,100,5,90,10,1484,0.04649868449619833,0.008637291877644603,0.024075701888650654,0.03359291721135378,20.0,16.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.012315077688067368
oxide,200,5,180,20,1484,0.04570075810414355,0.00861267260326788,0.021515979123327676,0.02529585864394903,39.0,16.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.011517151296012586
oxide,500,5,450,50,1484,0.042962743089354855,0.006232012753750299,0.01951387938675988,0.021645973110571502,39.0,16.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.008779136281223891
oxide,1000,5,900,100,1484,0.04169220256934826,0.005333258733114451,0.019347712733187816,0.0219579349138907,35.5,16.0,0.03418360680813096,results/oxide/zero_shot/summary.json,-0.007508595761217297
