family,N,set_number,seeds_used,n_points,mae_eV_per_atom,rmse_eV_per_atom,r2,png,pdf,source_prediction_csvs
nitride,10,1,"0,1,2,3,4",242,0.08284021657391274,0.12027840948256702,0.9841059468218359,"reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=10.png","reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=10.pdf",results_prof_advice/nitride/N10_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N10_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N10_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N10_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N10_seed4/finetune_last2/prediction_results_test_set.csv
nitride,50,1,"0,1,2,3,4",242,0.10704707526563366,0.14198412239602037,0.9778517778173342,"reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=50.png","reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=50.pdf",results_prof_advice/nitride/N50_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N50_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N50_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N50_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N50_seed4/finetune_last2/prediction_results_test_set.csv
nitride,100,1,"0,1,2,3,4",242,0.1458337619669797,0.17956192763389983,0.964576797102361,"reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=100.png","reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=100.pdf",results_prof_advice/nitride/N100_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N100_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N100_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N100_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N100_seed4/finetune_last2/prediction_results_test_set.csv
nitride,200,1,"0,1,2,3,4",242,0.11954461796871148,0.18414952712094762,0.962743631146831,"reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=200.png","reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=200.pdf",results_prof_advice/nitride/N200_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N200_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N200_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N200_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N200_seed4/finetune_last2/prediction_results_test_set.csv
nitride,500,1,"0,1,2,3,4",242,0.08689956118098714,0.12773955449368796,0.9820728974404205,"reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=500.png","reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=500.pdf",results_prof_advice/nitride/N500_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N500_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N500_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N500_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N500_seed4/finetune_last2/prediction_results_test_set.csv
nitride,1000,1,"0,1,2,3,4",242,0.08294302668607187,0.12196810198374607,0.9836562451346044,"reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=1000.png","reports/week2_prof_advice/parity_plots/Nitride Parity Plot - Hyperparameter Set 1, N=1000.pdf",results_prof_advice/nitride/N1000_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N1000_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N1000_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N1000_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/nitride/N1000_seed4/finetune_last2/prediction_results_test_set.csv
oxide,10,1,"0,1,2,3,4",1484,0.03905812158977934,0.0699245512966964,0.9943844820119825,"reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=10.png","reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=10.pdf",results_prof_advice/oxide/N10_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N10_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N10_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N10_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N10_seed4/finetune_last2/prediction_results_test_set.csv
oxide,50,1,"0,1,2,3,4",1484,0.04655530712472506,0.0741269250966664,0.9936892290620145,"reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=50.png","reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=50.pdf",results_prof_advice/oxide/N50_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N50_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N50_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N50_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N50_seed4/finetune_last2/prediction_results_test_set.csv
oxide,100,1,"0,1,2,3,4",1484,0.04218033414313349,0.07287953840290717,0.9938998337253309,"reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=100.png","reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=100.pdf",results_prof_advice/oxide/N100_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N100_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N100_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N100_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N100_seed4/finetune_last2/prediction_results_test_set.csv
oxide,200,1,"0,1,2,3,4",1484,0.040840300763084876,0.07244328106135736,0.9939726464042835,"reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=200.png","reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=200.pdf",results_prof_advice/oxide/N200_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N200_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N200_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N200_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N200_seed4/finetune_last2/prediction_results_test_set.csv
oxide,500,1,"0,1,2,3,4",1484,0.039273239163188596,0.07094086040600278,0.9942200597443541,"reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=500.png","reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=500.pdf",results_prof_advice/oxide/N500_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N500_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N500_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N500_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N500_seed4/finetune_last2/prediction_results_test_set.csv
oxide,1000,1,"0,1,2,3,4",1484,0.03834176944362281,0.07058730470535782,0.9942775284170319,"reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=1000.png","reports/week2_prof_advice/parity_plots/Oxide Parity Plot - Hyperparameter Set 1, N=1000.pdf",results_prof_advice/oxide/N1000_seed0/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N1000_seed1/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N1000_seed2/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N1000_seed3/finetune_last2/prediction_results_test_set.csv;results_prof_advice/oxide/N1000_seed4/finetune_last2/prediction_results_test_set.csv
