property,property_label,method,embedding_dimension,correlation,abs_correlation,max_abs_permutation_p_value,n_elements,multiple_comparison_scope,missing_policy
electronegativity,Electronegativity,spearman,0,0.22264355591144327,0.22264355591144327,0.9922015596880623,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,1,0.46234020667892517,0.46234020667892517,0.010797840431913617,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,2,0.674205523663836,0.674205523663836,0.0001999600079984003,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,3,-0.07041071330421966,0.07041071330421966,1.0,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,4,-0.8805501057266416,0.8805501057266416,0.0001999600079984003,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,5,-0.49778389402677026,0.49778389402677026,0.002999400119976005,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,6,-0.081537555337947,0.081537555337947,1.0,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,7,0.20746153487565422,0.20746153487565422,0.9984003199360127,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,8,-0.5853899891695571,0.5853899891695571,0.0001999600079984003,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,9,-0.16801958331875877,0.16801958331875877,1.0,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,10,0.4978834949145402,0.4978834949145402,0.002999400119976005,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,11,0.337639895190963,0.337639895190963,0.3745250949810038,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,12,0.12674212968724596,0.12674212968724596,1.0,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,13,-0.5603474802445442,0.5603474802445442,0.0001999600079984003,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,14,0.3688434304594593,0.3688434304594593,0.1941611677664467,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,15,0.27994252377566325,0.27994252377566325,0.8160367926414717,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,16,0.1960928049716284,0.1960928049716284,0.9996000799840032,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,17,-0.48611636145943465,0.48611636145943465,0.003799240151969606,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,18,0.47281252859302164,0.47281252859302164,0.00639872025594881,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,19,0.6157967173358937,0.6157967173358937,0.0001999600079984003,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,20,0.6502443958060394,0.6502443958060394,0.0001999600079984003,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,21,0.11064947196327456,0.11064947196327456,1.0,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,22,-0.05756219878189767,0.05756219878189767,1.0,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,23,-0.3969735669053403,0.3969735669053403,0.09038192361527694,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,24,-0.08535084646971035,0.08535084646971035,1.0,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,25,0.14745911434339304,0.14745911434339304,1.0,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,26,-0.4531911537023438,0.4531911537023438,0.013397320535892822,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
electronegativity,Electronegativity,spearman,27,0.3576312162362148,0.3576312162362148,0.24875024995001,75,all_embedding_dimensions_within_property_and_method,values <= 0 treated as missing
