dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters
fixed_test_set,Fixed test set,pre_head,256,silhouette_score,overall_family_labels,0.1904993335658557,0.18179475645413662,0.19923095904820048,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,pre_head,256,silhouette_score,oxide,0.18519537470734157,0.17551443827047805,0.19463096144143952,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,pre_head,256,silhouette_score,nitride,0.22302443664864477,0.2068769319137261,0.23904539213680495,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,pre_head,256,davies_bouldin_index,overall_family_labels,1.6936503655060886,1.6094616631751253,1.7810870064265116,0.95,stratified_bootstrap_recomputed_index,False,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,pre_head,256,knn_family_purity,overall_family_labels,0.9577056778679026,0.9518684820393974,0.9635776361529548,0.95,stratified_bootstrap_over_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,pre_head,256,knn_family_purity,oxide,0.983737646001797,0.9795597484276731,0.9877369721473497,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,pre_head,256,knn_family_purity,nitride,0.7980716253443526,0.7633539944903581,0.8270247933884297,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,pre_head,256,logistic_regression_family_auc,overall_family_labels,0.9976108796863514,0.9956156300817536,0.9989697962843332,0.95,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1726,1484,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}"
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,overall_family_labels,0.23924905439423452,0.23316488129108706,0.24563530325262747,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,oxide,0.25456374327432907,0.2476217597241355,0.26169333510196163,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
