embedding_source,distance_metric,distance_label,statistic,comparison,value,ci_low,ci_high,ci_level,p_value,p_value_bh_fdr_within_statistic,p_value_method,test_alternative,n_nitrides,n_oxide_reference,hard_nitrides_count,easy_nitrides_count,k_oxide_neighbors,analysis_space,error_metric,hard_group_distance_summary,easy_group_distance_summary,mahalanobis_status,mahalanobis_condition_number,mahalanobis_shrinkage
pre_head,oxide_centroid_distance,Oxide centroid distance,spearman_correlation,nitride_abs_error_vs_distance,0.2568266173195131,0.1347907643923726,0.3686864157643717,0.95,0.00019998000199980003,0.00022497750224977504,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_centroid_distance,Oxide centroid distance,pearson_correlation,nitride_abs_error_vs_distance,0.3038407671677763,0.20827451028612717,0.4007997488905285,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_centroid_distance,Oxide centroid distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,1.221454450686318,0.5944667989939576,1.8354976932316014,0.95,9.999000099990002e-05,0.00017998200179982003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,7.91281087549338,6.691356424807062,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_centroid_distance,Oxide centroid distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,1.1068580924646865,0.24743007627632796,2.282863649921901,0.95,0.001999800019998,0.00224977502249775,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,7.890359234524937,6.783501142060251,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_knn5_mean_distance,Mean 5NN oxide distance,spearman_correlation,nitride_abs_error_vs_distance,0.4073794654707518,0.29373557010498985,0.5144934966782806,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_knn5_mean_distance,Mean 5NN oxide distance,pearson_correlation,nitride_abs_error_vs_distance,0.33897572472578397,0.24497423751351322,0.4383206502017035,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_knn5_mean_distance,Mean 5NN oxide distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,0.9471743398604149,0.589180347292537,1.3140009963964647,0.95,9.999000099990002e-05,0.00017998200179982003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,4.581252288415061,3.634077948554646,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_knn5_mean_distance,Mean 5NN oxide distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,0.9314091955025185,0.41740723901798615,1.2860110313832287,0.95,9.999000099990002e-05,0.00029997000299970003,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,5,raw_256d_embedding_vectors,absolute_zero_shot_error,4.508779807548107,3.5773706120455886,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_mahalanobis_lw_distance,Mahalanobis distance,spearman_correlation,nitride_abs_error_vs_distance,0.3028783158294035,0.17683021590557813,0.42139649918170885,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_mahalanobis_lw_distance,Mahalanobis distance,pearson_correlation,nitride_abs_error_vs_distance,0.3035761211812518,0.20086743850162073,0.4143391756508726,0.95,9.999000099990002e-05,0.00012855857271415716,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_mahalanobis_lw_distance,Mahalanobis distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,5.6805293073286975,2.4761096216543628,8.773274860803594,0.95,0.0005999400059994001,0.0007713514362849429,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,33.39454601657888,27.71401670925018,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
pre_head,oxide_mahalanobis_lw_distance,Mahalanobis distance,hard_minus_easy_median_distance,hard_top_20pct_vs_easy_bottom_20pct,6.283088021725806,2.8265963888832317,9.054769999005924,0.95,0.0006999300069993001,0.0015748425157484252,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,33.08814327184146,26.805055250115654,computed_ledoit_wolf_stable,7296.831618628379,0.0005008243485253812
last_alignn_pool,oxide_centroid_distance,Oxide centroid distance,spearman_correlation,nitride_abs_error_vs_distance,0.17266635083810994,0.04385321740899117,0.29464592142482443,0.95,0.004299570042995701,0.004299570042995701,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_centroid_distance,Oxide centroid distance,pearson_correlation,nitride_abs_error_vs_distance,0.23245810164943667,0.1172537215370994,0.35158164186088536,0.95,0.00029997000299970003,0.00033746625337466253,permutation_pairing_errors_to_distances,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,,,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
last_alignn_pool,oxide_centroid_distance,Oxide centroid distance,hard_minus_easy_mean_distance,hard_top_20pct_vs_easy_bottom_20pct,0.6130519962810714,0.0903679549910192,1.0985996396591466,0.95,0.010498950104989501,0.010498950104989501,permutation_group_labels_within_hard_easy_union,greater,242,13507,49,49,,raw_256d_embedding_vectors,absolute_zero_shot_error,7.176514737617779,6.563462741336708,computed_ledoit_wolf_stable,3145.417676701062,0.0006563927738960449
